,position_info,posted_website,education_requirement,company_url,position_type,company,company_type,position_tag,position_advantage,experience_requirement,recruiting_number,company_finance,department,position,posted_url,major_requirement,company_size,date,monthly_salary_range,recruit_count,industry
0,欧巴仙女们：嘿，你的机会来了，老板说要招几个销售来，没啥要求就是大胆一点，自带阳光正能量感染力，懂点销售技巧，重点是够淡定，有冲劲，有韧性，搞得定老总也哄得住小主；各位欧巴仙女们，RCC在等着你们来开天辟地了~~~“入会条件”1.上过大学那肯定是要的，另外表达流利，逻辑清晰就更赞啦；2.熟悉MS软件，不用怀疑，那是必须的啦，有常年CRM经验那就更好了；3.死磕产品价值与服务，用电话与mail聊天，必要时登门拜访；4.要有“小强精神”，百折不挠，并且能够适应快节奏、高效率的工作环境；福利！福利！福利！！！赚钱不是最重要的，开心最重要。但是赚钱能让我开心啊！1.我们可以给你绝对竞争力的薪酬！而且每月月底就发当月工资！！！薪资=底薪+高额提成+温馨补贴+五险一金，Wuli销售的整体薪酬水平在互联网服务业中处于中上水平，并且每月业绩平稳，勤勤恳恳月入过万；2.个人技能全面up！up！up！专业知识、沟通技巧、自信心和气场的全方位提升，我们的客户都是企业用户，经常要面对总监、CEO，完美升级你自己3.资源矿山：作为资源型整合的公司，我们能给每位欧巴仙女们提供源源不断客户来源，当然啦，万丈高楼平地起，成功还得靠自己！4.全面的培训制度，给你加个buff：公司精心研发E-learning系统，体系化，科学化学习，记录你成长的点点滴滴；同时团队给你配备一名专属师傅，进行师徒制传带教模式，还要特别提到的是主管的薪酬仅与团队业绩挂钩，不会与民争利，全力扶持员工业绩提升；【划重点！！！在RCC，我们坚信福利就是员工的战斗力！】？购买“五险一金”，每年享受健康体检；？法定节假日是肯定的啦，一转正，每年享受带薪年假7天，普通员工最高可以享受10天年假，同时享有带薪福利病假；？丰富多彩的员工活动：业务精英海外游（新加坡、普吉岛、韩国都留下我们的足迹）、部门活动、半年度旅游或者拓展、RCC活动日、年夜饭晚会及抽奖、优秀员工表彰等；？奖项丰富：年终奖、忠诚员工奖、业务精英奖、优秀员工奖、园丁奖、全勤奖、人才推荐奖；？福利多多：过节礼品、生子礼品、生日礼品、下午茶；？人性化关怀，为优秀员工的父母寄送感恩礼品，为女员工提供哺乳间，贴心！！？每周五天八小时，朝九晚六，周末双休；？公司额外提供员工补充医疗保障计划；,前程无忧,大专,,,北京瑞达恒建筑咨询有限公司,民营公司,,"带薪年假,周末双休,专业培训,节日福利,全勤奖,餐饮补贴,补充医疗保险,海外旅游,年底双薪,五险一金",1年经验,招3人,,,销售专员（大数据平台）,http://jobs.51job.com/beijing-xcq/97317015.html?s=01&t=0,,1000-5000人,27/12/2017,7000-14000,3,"[互联网, 电子商务,专业服务(咨询、人力资源、财会)]"
1,【关于晋升】针对不同岗位我们有不一样的打怪升级路径！我们为员工提供专家成长路线及高级管理路线，总有一个方向能让你实现抱负！【薪酬福利】无责任薪资（面谈）+绩效奖金+年底奖金+工龄工资+入职购买五险+年假+单双休；在4season自助餐会议、专属员工生日趴等高逼格而又温情的活动怎么能少？【团队成员】公司平均年龄25岁，年轻活力feel得到！大Boss们个个光环加身，同事都自带buff！有才的你赶紧投个简历来聊骚！没有复杂的人际关系，大家年轻且激情，狼性满满；虽然***爱开车，但三观端正，正能量爆棚！我们需要志同道合的你一起建设社会主义事业！【你将从事】1、负责输出公司合作品牌商广告投放情况的日常业务报表；2、建立电商品牌客户、产品的分析模型，提出产品、业务改善建议；3、监控运营团队工作进度、以及对团队人效进行分析，提供分工优化建议；4、对行业有一定见解，针对推广方案，进行数据分析、挖掘，为推广方案达到***效果提供数据支撑。【你要具备】1、统招本科以上学历，统计、数据、数学等相关专业毕业；2、两年或以上数据分析相关经验，熟悉EXCEL、SPSS等软件的应用；3、熟悉并能综合使用各种数理统计、数据分析、数据挖掘、制表绘图等软件进行图表、图像以及文字处理；4、具备优秀的逻辑思维，强烈的结果导向意识和数据化运营能力，以及较强的数据分析能力、学习能力、敏锐的观察力，善于从数据中发现问题。我们提倡学习，不断进步：1、入职统一培训及在职培训，不定期举办全公司或小团队的培训课程，帮助每个伙伴成长。2、时时分享的文化，帮助团队成员在点滴中不断积累和学习3、不定期的teambuilding，打造轻松和谐的团队文化，促进团队默契4、总有一些出乎意料的小惊喜，创业路上，一起且行且珍惜！【关于我们】成立3年不到，做到行业领先地位；广州总公司规模过百；杭州分公司内部晋升机会多。更多信息入口：公司官网：www.molimediagroup.com旗下茉莉妈妈官网：www.molimama.cn【发展历程】2014年10月公司成立；2015年底转型做内容；2016年双11全淘宝后台招商全国领先；2017年升级为淘宝、天猫、京东官方特邀MCN达人机构，与瑞丽网、时尚家居、关爱八卦成长协会等建立深度合作投个简历，我们的故事就开始了.....,前程无忧,本科,,,广州幸福家科技有限公司,民营公司,,,无工作经验,招1人,,,数据分析师/数据运营,http://jobs.51job.com/guangzhou-yxq/95599418.html?s=01&t=0,,50-150人,27/12/2017,6000-10000,1,"[广告,互联网, 电子商务]"
2,工作职责：1.每日监理数据收集、统计、汇总及多维度分析；2.根据平台运营规划，协助完成常规或活动相关报告输出；3.对所有运营数据进行定期维护、更新、编译来完成部门高效运作满足需求；4.协助完成平台数据运营相关其他工作。任职要求：1.统招本科及以上学历，数学或统计类专业优先；2.熟练使用Excel中的函数公式、数据透视、统计图和快捷操作等；3.熟练掌握PPT、word等办公软件，有较好的分析报告呈现能力；4.有较强的英语读写能力，大学英语4/6级；5.具有良好的学习能力及沟通能力，高度的敬业精神；6.责任心强，工作积极细致，能够承受工作中的压力。【薪资待遇】丰厚无责底薪+高提成+各种奖励+各项补贴+五险一金+国内外旅游+各种团建活动=行业内领先【上班时间】每周五天工作制，享受法定节假日；每天早9:00---17:30（特殊岗位除外）【发展平台】公司斥巨资独立开发一款真正解决实体商业运营与收益的交易平台，只要你有能力，即可得到职位晋升与丰厚待遇！具体薪资根据个人能力详谈！【面试地址】西安市未央区欧亚大道666号欧亚国际A座516室【咨询热线】029-68866355或15829782598,前程无忧,大专,,,陕西优返汇电子商务有限公司,民营公司,,"五险一金,免费班车,员工旅游,交通补贴,绩效奖金,年终奖金,通讯补贴",3-4年经验,招1人,,,数据运营专员,http://jobs.51job.com/xian/95768298.html?s=01&t=0,,50-150人,27/12/2017,3000-6000,1,"[互联网, 电子商务]"
3,业务介绍：中国制造网（Made-in-China.com）由焦点科技开发及运营，是国内领先的综合性第三方B2B电子商务平台。网站专注服务于全球贸易领域，致力于为国内中小企业开展国际营销构建展示平台和交流渠道，帮助供应商和海外采购商建立联系，挖掘全球市场商业机会。岗位职责：1、平台运营数据日常监控，通过数据波动发现问题并跟进；2、事业部各平台/单元运营指标跟踪及数据分析，产出运营数据分析报告；3、项目/运营策略调整/营销活动的指标制定、持续跟踪、效果评估等工作；4、收集有关市场、行业动态等方面的信息，辅助上级完成运营策略的制定工作。岗位要求：1、2年及以上电商平台运营工作的经验；2、熟悉并热爱互联网行业，了解互联网各类产品；3、良好的逻辑分析和表达能力；4、统计学、情报学、经济管理、电子商务等专业，或者有运营数据分析工作经验者优先；5、英语读写能力优秀，CET-6级及以上。,前程无忧,本科,,,焦点科技股份有限公司,上市公司,,,2年经验,招1人,,,数据运营经理（中国制造网）,http://jobs.51job.com/nanjing/96268038.html?s=01&t=0,,1000-5000人,27/12/2017,6000-10000,1,"[互联网, 电子商务,计算机软件]"
4,"职位描述：1.在线解答与车联网、物联网业务相关的技术问题；2.参与车联网技术相关的测试。3.带领团队处理用户反馈的问题及需求，整理用户数据报告；职位要求：1.性格开朗，善于沟通，思考；2.熟练使用Word，Excel,PowerPoint等办公软件；3.踏实勤奋，稳定性较强，具备较强的抗压能力；4.做事认真负责，有责任心；5.能够在公司的培训中快速学习。",前程无忧,大专,,,北京中娱时代科技有限公司,民营公司,,"五险一金,通讯补贴,专业培训,绩效奖金,年终奖金",无工作经验,招10人,,,数据运营工程师,http://jobs.51job.com/shanghai-ptq/82887562.html?s=01&t=0,,少于50人,27/12/2017,3500-5000,1,"[互联网, 电子商务,计算机软件]"
5,1.精准营销：分析互联网数字营销数据，基于大数据平台建模，提高营销的ROI2.用户画像：负责构建用户数据模型，挖掘用户群体属性、潜在种子用户以及用户偏好等信息3.评分模型：各种场景下的评分需求，访客价值评分、客户诊断评分、节目效果评分等等4.异常检测：能够对于数据异常，流量作弊情况进行及时预警职位要求：1.理解业务的定位、目标、业务问题的本质。喜欢折腾数据并从数据中发现价值2.具备数理统计、数据挖掘、机器学习或相关背景，善于用数据和算法解决实际问题3.3年以上数据挖掘经验，具备良好的逻辑思考能力和快速的学习能力4.熟悉python、java、R等语言，有使用科学计算第三方库或工具的经验,前程无忧,本科,,,北京安德信业信息咨询有限责任公司,民营公司,,,3-4年经验,招若干人,,,数据挖掘工程师,http://jobs.51job.com/beijing-hdq/95528152.html?s=01&t=0,,50-150人,27/12/2017,25000-30000,0,"[互联网, 电子商务,计算机软件]"
6,"职责定位负责数据深入挖掘和分析海量数据，发掘用户行为偏好及规律。岗位职责1.负责各类业务数据，基于风险、营销等不同业务场景，构建数据模型解决方案；2.针对金融风险和信用建模的业务需求，开发设计面向海量数据的算法；3.对大量数据进行多维度的画像分析。任职资格1.计算机、统计学、应用数学、金融等相关专业,本科（含）以上学历；2.熟练掌握SQL，Hive，良好的数据可视化技能，有海量数据处理和挖掘经验者优先；3.扎实的数理统计理论基础，熟悉常用机器学习和数据挖掘算法；4.熟悉至少一类编程语言，如SAS、R、PYTHON，有实际开发经验者优先；5.有互联网或金融行业数据分析、风险建模、数据仓库建模等相关经验；6.熟练掌握主流机器学习、数据挖掘工具包，熟练掌握hadoop平台的使用。?",前程无忧,本科,,,上海顽色投资管理有限公司,民营公司,,"五险一金,弹性工作",3-4年经验,招2人,,,数据挖掘工程师,http://jobs.51job.com/shanghai/93199565.html?s=01&t=0,,50-150人,27/12/2017,20000-25000,2,"[金融, 投资, 证券]"
7,岗位职责：1、参与产品及业务需求评审，深入分析通信数据、金融数据、互联网数据，基于大数据基础平台（如Spark/Hadoop）或并行计算环境，应用统计学、机器学习、数据挖掘等技术建立模型，快速实现对于数据分析、挖掘的需求；2、能够从业务和产品的角度出发，利用数据来发现产品、系统或是业务的瓶颈，并提出优化的方案；3、研究已有算法的瓶颈，提出合理的改进措施和解决方案；4、跟踪研究数据挖掘的新技术、新算法、新实践，提出适合征信、风控领域的模型实施方案。任职要求：1、计算机，数学，统计学等相关专业本科以上学历；2、5年以上相关工作经验，有统计建模、机器学习（聚类、分类、回归等）或数据挖掘应用的项目或研究经验；3、精通Linux开发，熟悉Perl/Shell/Ruby等脚本语言，具备C/C++、Java、Go等编程能力，熟悉数据库，对常用数据结构和算法有较为深刻的理解；4、征信、金融、大数据、通信业从业背景人员优先，熟练使用R、Python、Weka、Julia、Mahout、GraphX、MLlib、Scala，以及机器学习开源框架TensorFlow，Caffe，Mxnet者优先。,前程无忧,本科,,,试金石信用服务有限公司,创业公司,,"五险一金,补充医疗保险,员工旅游,交通补贴,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检",3-4年经验,招1人,,,数据挖掘工程师,http://jobs.51job.com/shenzhen-nsq/86168545.html?s=01&t=0,,50-150人,27/12/2017,20000-40000,1,"[互联网, 电子商务,计算机服务(系统、数据服务、维修)]"
8,工作内容：1、设计和开发分布式爬虫和调度系统，负责爬虫核心算法和调度策略优化；2、负责网络信息搜集方向的研究与开发，应用海量网页抓取、信息精准抽取等搜索核心技术，构建高可用性、高可扩展性的网络信息搜集平台；3、熟悉爬虫的应用策略和网站的防爬机制，解决各类验证码识别机制，提升网页抓取的效率和质量；4、负责多个业务网站数据爬取、解析、过滤，清洗、消重、结构化处理等工作，提升平台的抓取效率。任职要求：1、大学本科及以上学历，计算机相关专业，基础扎实；2、Python工作经验3年以上，熟悉Python常用函数库，熟练掌握Xpath和正则表达式；3、精通常用Python爬虫框架中的一种或多种，熟悉Scrapy、Pyspider框架中的至少一种；4、熟练掌握MySql、Mongodb等SQL、NoSQL数据库，有丰富的mysql性能优化经验；5、熟练掌握网页抓取原理及解析技术，对SQL优化有一定的经验熟悉基于正则表达式、XPath、CSS等网页信息抽取技术；6、具有优秀的团队合作和沟通协作能力；7、具备良好的编码习惯及开发文档书写习惯。加分项：1、个人网站；2、相关个人作品；3、Github个人主页。,前程无忧,本科,,,安华理达企业管理咨询（广州）有限公司,外资（非欧美）,,"五险一金,周末双休,带薪年假,定期体检,节日福利,生日假,员工旅游,激励奖金",3-4年经验,招1人,,,python爬虫开发工程师,http://jobs.51job.com/guangzhou-yxq/96227678.html?s=01&t=0,,150-500人,27/12/2017,13000-16000,1,[专业服务(咨询、人力资源、财会)]
9,工作职责：1、参与电商爬虫系统的设计和开发，负责爬虫系统的框架设计；2、设计和开发分布式网络爬虫，以及爬虫效果持续优化；3、分析结构化和非结构化数据，并对数据抓取、信息提取、去重、清洗；4、负责爬虫数据的策略开发，支持电商业务决策任职资格：1、本科或以上学历，计算机软件或相关专业2、两年及以上开发经验，有爬虫或解析相关开发经验，熟悉http协议、正则、多线程等3、精通Python语言，熟悉scrapy和django框架4、精通Mongodb，MySQL或者Postgresql，并有Redis的使用经验；5、熟悉Linux日常工作环境，熟悉常用shell命令；6、有互联网公司爬虫架构方面经验优先；7、身体健康，有上进心，有良好的沟通能力，逻辑思维能力和团队协作能力。,前程无忧,本科,,,上海宝尊电子商务有限公司,上市公司,,"五险一金,绩效奖金,年终奖金,弹性工作,免费班车,定期体检",2年经验,招1人,,,python开发工程师（爬虫方向）,http://jobs.51job.com/shanghai/94551105.html?s=01&t=0,,1000-5000人,27/12/2017,15000-20000,1,"[互联网, 电子商务]"
