职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
VIP运营专员,NULL,长沙-开福区,全职,1-3年经验,大专,3000-5000 ,NULL,1,"五险一金,朝九晚五,旅游",职位描述                        工作职责：1、唯品会日常事务对接及协调；2、唯品会运营规划及执行跟进3、具有较强的沟通能力，能协调各部门工作，做好对内和对外的沟通保证唯品会合作顺利进行；?4、在活动结束后对活动进行分析与总结；?5、需按时整理、提交各档期活动提交的素材。?6、配合领导完成其他工作。?岗位要求：?1、有电子商务行业经验，有唯品会或者天猫等平台化妆品行业相关工作经验者优先考虑；?2、工作积极主动，思路清晰有条理、善于沟通，责任心强，执行力强；?3、具有一定的数据分析和总结能力；?4、熟练操作office等办公软件，熟练运用Excel（公式运用）；5、了解掌握唯品会等平台的规则，熟练运用Excel表格（公式运用），协助制作各档期相关文件。,长沙婕骏日用品贸易有限公司,"贸易,进出口",民营,NULL,20-99人,NULL,12/29/17,直聘网,http://www.zhipin.cn/jobs/994
财务专员,NULL,赤峰-NULL,全职,1-3年经验,本科,3000-5000 ,财务管理、会计、经济管理等相关专业,3,"五险一金,包食宿,有年假",职位描述                        一、岗位职责：1、依据本部门年度工作计划拟定本岗位工作计划，并分解实施；2、结合国家现金管理规定参与现金管理制度制定并在工作中严格执行；3、负责现金日记账核对及每天清点，确保账实相符；4、根据华润医药财务管理要求完成资金系统数据维护；5、负责原始单据审核，杜绝不合理、不合规支付；6、负责完成银行存款日记账与银行账户核对并编制银行余额调节表；7、负责销售、回款的统计反馈并定期进行应收账款清理；8、负责销售发票开具、电子报税及税款缴纳业务办理；9、负责工资的审核与发放。二、任职要求：1、学历要求：本科以上学历，财务管理、会计、经济管理等相关专业；2、能力要求：了解和熟悉财务管理、金融管理、税收政策法规、经济法等方面专业知识；3、其他要求：熟练操作Office 办公软件应用，熟练应用 Excel 、PPT、ERP管理系统；三、其他说明：1、缴纳五险一金，提供免费食宿；2、年龄：35岁以下，男性优先；3、工作地点：赤峰市（敖汉旗、巴林左旗）。,内蒙古东阿黑毛驴牧业有限公司,"农业,渔业,林业,牧业",国企,NULL,100-499人,NULL,12/29/17,直聘网,http://www.zhipin.cn/jobs/877
供应商开发,NULL,深圳-南山区,全职,5-10年经验,大专,20000以上 ,NULL,2,"双休,五险一金,全勤奖",职位描述                        岗位说明：1、根据公司项目定位，制定招商方案并组织实施，2、负责制定各阶段招商策略和计划，布置和安排各项工作的开展；3、重点品牌商及新品牌商的拓展工作；4、独立负责品牌客户导入的谈判、控价工作，商务合约谈判任职要求：1、5年以上品牌商管理工作经验，2、主导过大型品牌的招商谈判工作；3、具备合伙人心态，需要能独当一面，带领部门打造属于自己团队的硕果；4、熟悉各类目品牌的甄选和供应商的管理；5、具备较丰富的品牌资源，具有丰富的商品知识并熟悉行业资讯；6、具备较强的计划、组织、沟通能力，优秀的项目协调及谈判能力，良好的沟通协调与数据分析能力,深圳前海浩方科技有限公司,"互联网,电子商务",民营,NULL,500-999人,http://www.hofan.cn,12/26/17,直聘网,http://www.zhipin.cn/jobs/839
行政,NULL,济南-NULL,全职,NULL,大专,3000-5000 ,NULL,3,"五险一金,朝九晚五,有年假",职位描述                        1、协助公司行政制度在区域的推行2、每天统计销售人员的入场工作内容，分配客户资源3、负责销售人员的考勤、工装、体检、福利等工作，为确保各项行政数据的准确性，及时统计、制作、提交行政相关报表,山东蓝创汽车服务有限公司,"汽车,摩托车,零配件",上市公司,已上市,1000-9999人,http://www.lanchuangjituan.com/,12/29/17,直聘网,http://www.zhipin.cn/jobs/821
CS渠道经理（湖南湖北）,NULL,长沙-开福区,全职,5-10年经验,大专,5000-10000 ,具有市场营销、经济管理类相关专业,1,"五险一金,交通方便,有年假",职位描述                        岗位职责：1、负责公司产品在CS渠道的拓展规划、终端动销，能强有力的将计划转变成结果；2、根据渠道特征及需求主导产品线规划及单品卖点策划；3、设置销售目标、销售模式、销售战略、销售预算和奖励计划；4、建立和管理销售队伍，规范销售流程，完成销售目标；5、分析渠道的市场潜力、销售数据和费用，测算盈亏情况；6、关注于维护和提高产品品牌市场竞争力，分析市场动态，撰写分析报告。任职资格：1、具有市场营销、经济管理类相关专业，大专或本科以上学历；2、3年以上相关行业经历，1年以上产品销售和渠道管理经验，精通化妆品国内市场营销策划，熟悉国内化妆品渠道操作；3、优秀的团队建设经验，团队管理能力强，善于协调营销团队的工作；4、有敏锐的市场意识、应变能力、优秀的谈判能力、领导能力和独立开拓市场的能力，学习能力强；逻辑性强和良好的语言表达能力；5、具有强烈的进取心，精力充沛，身体健康，乐观豁达，为人勤恳诚信，富有开拓精神；6、能够适应出差。?薪资待遇：1、综合薪资6K—10K，工资构成：底薪+岗位津贴+绩效工资+提成+高温/防寒补贴+工龄工资等；2、福利：五险+季度福利品+节假日福利+集体旅游+年终奖金++带薪年假+带薪病假，出差期间食宿费用报销。工作时间：上午9:00-12:00，下午13:30-17:30大小休,长沙婕骏日用品贸易有限公司,"贸易,进出口",民营,NULL,20-99人,NULL,12/29/17,直聘网,http://www.zhipin.cn/jobs/997
出纳,NULL,北京-朝阳区,全职,1-3年经验,大专,5000-10000 ,NULL,1,NULL,职位描述                        职能描述：1.负责公司日常的费用报销；2、配合处理电商的对账、核销等事宜；3、负责销售数据的统计与核算，配合完成各部门的独立核算。4、每月配合处理行政采购及资产管理等事宜；5、完成其他临时交办工作岗位要求：1.专科毕业，1年以上相关工作经验，有互联网行业经验为优；2.熟悉日常财务工作流程，具有良好的职业道德，有一定程度抗压能力、踏实肯干、责任心强，有团队合作精神，熟悉国家财务政策、会计法规。3..熟悉电商业务结算制度和流程，有互联网或电商企业从业经验优先录用。,时尚星（北京）文化传媒有限公司,"互联网,电子商务",民营,NULL,20-99人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/629
运营总监/高级经理,NULL,北京-朝阳区,全职,5-10年经验,本科,20000以上 ,NULL,1,"环境好,双休,五险一金",职位描述                        岗位职责：1、熟悉互联网运营思路和模式，根据公司目标制定运营计划，负责运营团队的日常管理工作；2、基于对用户和产品的了解，针对不同类型用户设计有效激励机制，维护活跃用户，激活沉默用户，提高用户活跃度和黏着度，收集用户在产品功能、使用习惯等方面的意见及建议，提出建设性意见；3、监控网站、APP运营数据，将相关数据汇总、分析，为运营决策提供数据支持；?任职要求：1、大学本科或以上学历，5年以上互联网金融运营工作经验，至少2年以上团队管理经验；2、熟悉互联网金融及地产的规划及运营规则，具有敏锐的市场洞察力、应变能力；3、思维活跃，逻辑严谨，文笔优秀，具有良好的沟通、协调、组织、执行能力，团队管理能力强。,北京亿平方科技有限公司,"金融,投资,证券",民营,NULL,20-99人,http://www.yipingfang.com/,12/29/17,直聘网,http://www.zhipin.cn/jobs/954
市场总监/高级经理,NULL,北京-朝阳区,全职,5-10年经验,本科,20000以上 ,经济学、市场营销、金融、新闻传播、房地产专业,1,"环境好,双休,五险一金",职位描述                        岗位职责：1、制定公司市场策略和品牌推广策略，负责公司网站、APP的品牌宣传和市场营销工作；2、熟悉各种互联网营销推广工具，提高APP下载量和注册量；3、组织并策划各类市场营销活动方案，编制及提交营销活动的可行性报告和总结性报告；4、通过数据分析，优化推广渠道、提升推广效果；5、负责产品的市场调研和用户分析，制定相应营销方案。任职要求：1、大学本科或以上学历，经济学、市场营销、金融、新闻传播、房地产专业优先；2、5年以上互联网行业营销推广经验，至少2年以上团队管理经验，有金融或房产类网站工作经验尤佳；3、具有敏锐的市场洞察力、应变能力，良好的文字功底；4、思维活跃，逻辑严谨，具有良好的沟通、协调、组织、执行能力，团队管理能力强。,北京亿平方科技有限公司,"金融,投资,证券",民营,NULL,20-99人,http://www.yipingfang.com/,12/29/17,直聘网,http://www.zhipin.cn/jobs/955
人事专员,NULL,济南-NULL,全职,NULL,大专,3000-5000 ,NULL,3,"五险一金,朝九晚五,有年假",职位描述                        人力相关：1）开展招聘工作，并确保招聘完成率达到要求；2）根据公司流程，为员工办理入职、转岗、调职、离职及合同签署等人事手续；3）为确保员工信息资料的准确性，定期维护和检查员工档案材料的完整性；4）为确保各项人事数据的准确性，及时统计、制作、提交人事相关报表；,山东蓝创汽车服务有限公司,"汽车,摩托车,零配件",上市公司,已上市,1000-9999人,http://www.lanchuangjituan.com/,12/29/17,直聘网,http://www.zhipin.cn/jobs/819
活动策划,NULL,北京-朝阳区,全职,1-3年经验,大专,10000-15000 ,市场营销、广告、金融、房地产专业,1,"环境好,双休,五险一金",职位描述                        岗位职责：1、负责各类线上线下活动的方案策划和文案撰写，通过活动拉新、促活，提高用户粘性和投资额。2、负责活动过程跟踪跟进，协调解决各类问题，保证活动顺利完成；3、收集整理相关数据，评估活动效果并改进方案；4、能根据热点和节点策划线上活动，脑洞大。任职要求：1、大专以上学历，市场营销、广告、金融、房地产专业优先；2、对金融理财或者房地产投资人群有一定了解，有2年以上相关工作经验，熟悉市场推广、公关合作、活动策划、执行管理等工作，有成功案例。3、较强的语言组织能力和PPT排版能力，能独立完成策划方案、执行方案、活动所需各类文稿的编写及美化工作；4、踏实稳重，具有高度的责任心、良好的团队合作和沟通能力，应变能力强。,北京亿平方科技有限公司,"金融,投资,证券",民营,NULL,20-99人,http://www.yipingfang.com/,12/29/17,直聘网,http://www.zhipin.cn/jobs/958
