职位名称,工作地点,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司规模,公司主页,发布日期
IT技术支持/维护,上海-浦东,1-3年,大专,5000-8000元,运动健身,1人,"养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,做五休二",岗位职责:1、负责开发公司目前OA及营业系统的潜在功能，确保系统数据的精准录入，提升效率；2、配合公司销售、营运部门分析门店的课程及会员卡销售情况及异常情况，向公司提出建设性建议；3、及时统计、汇总、分析门店会员投诉，建立、完善投诉解决分析案例；4、负责本部门内部的合同管理、备份管理、公司网站、宣传平台及公司内部系统的管理和维护；5、较清晰简练的定期完成相关报告与数据的制作与汇报；6、协同IT运维专员负责维护公司的各大系统、网站及各宣传平台。任职资格:1、大专及以上学历，统计、分析学相关专业优先，1年以上数据处理分析工作经验，有销售、营运及财务分析背景者优先；2、精通、熟练运用excel，精通函数运用，至少能够使用1种统计分析软件；3、对数据敏感，有较强的逻辑分析能力及数据处理、数据分析能力，善于总结数据规律、发现问题。4、热爱分析和调研工作，具有责任心，沟通协调能力强，能够承受压力；5、具有很强的学习能力并能够针对工作不断给出优化方案。工作时间:做五休二工作地址：上海市浦东新区沪南路2419弄万科复地活力城A幢615室,上海可逸健身发展有限公司,运动健身,100-499人,http://www.ganji.com/gongsi/105610090/,2017/9/5
市场专员/经理,北京-海淀,不限                        ,不限,5000-8000元,计算机/网络/通信,5人,"包吃,包住,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,加班补助,做五休二,年底双薪,员工体检",由于业务及项目拓展，本公司急招岗位：软件开发、软件测试实习生、C++程序开发实习生、游戏开发可实习。前期有项目经理带的做项目。转正后薪资5K-8K。薪资福利：底薪+绩效奖金+五险一金+双休+透明的晋升机制+年终奖金+年底双薪+饭补交通补助+出国旅游工作时间：朝九晚六【岗位要求】：年龄学历不符者请勿投递，广告中介勿扰！1、大专及以上学历；2、工作责任心强，做事仔细，有耐心；3、有较强的沟通意识及工作热情4、尽责、进取，能够清晰表达个人的观点，逻辑思维清楚，并有较好的团队合作精神；4、有志于从事IT开发行业；5、本岗位欢迎优秀\xa0应往届毕业生及转行人士\xa0前来应聘。,互联网佳（北京）信息服务有限公司,计算机/网络/通信,1000-9999人,http://www.ganji.com/gongsi/105372931/?postUser=690782488,2018/1/3
融资经理,北京-朝阳,不限,大专,5000-8000元,金融/银行/投...,5人,"交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,带薪年假,做五休二,年底双薪","职位描述：公司提供为期6天的免费零基础带薪培训，公司是培养金融','的孵化基地。任职要求：1、热爱金融行业，有强烈的意愿进入金融投资领域，渴望成为金融职场中的精英一族；2、具有良好的自我学习能力与团队合作精神；3、具有良好的职业操守，有强烈的责任感；4、敢于挑战自我，勇于凭自己的努力和本领获得高收益。素质要求:1、培训期间有大量的空余时间；2、热爱交易、对金融经济知识感兴趣；3、有很强的执行力，自制力强；日常生活有规律、有计划；4、有较强的学习能力，新知识的接受能力；抗压能力；5、耐心细致，有责任心，具有保密意识；6、对于基础薄弱或者无经验者有专业的入职培训。7、公司提供良好的晋升机制，表现优异者每三个月进行登记评定。岗位职责：1、接受公司有关技术分析、基本面分析、宏观金融理论的“岗前培训”；2、学习贵金属，外汇等交易品种的基本操做技巧；3、参与实盘交易演练，从中选择适合自己的有效交易手段，并形成自己独特的交易体系；4、参与每日的交易分析与交易决策；5、操作公司账户，合理止损，力图收益“”化。职位待遇：初级交易员：底薪6000+20%提成+双休+奖金+公司福利（月收入6000-10000）中级交易员：底薪10000+20%提成+五险+双休+奖金+公司福利（月收入10000-16000）高级交易员：底薪15000+20%提成+五险+双休+奖金+旅游+公司福利（月收入15000以上）晋升空间：初级交易员->中级交易员->高级交易员->交易助理->交易顾问->交易经理->部门总监外汇市场是全球“”的金融市场，参与者包括国家央行、商业银行、公司、金融机构及个人投资者。经济全球化、金融自由化的国际潮流推动全球外汇市场迅猛发展。金融交易师在国际金融市场有一个雅号---“价格发现者”，随着人民币国际化加深，金融交易员和金融分析师是未来金融交易中急缺的','。据统计，在发达国家，专业的金融交易师年薪一般都是百万美金起步。如果您在交易行业有一定兴趣或者积淀，请抓住机会，加入我们的公司，参与到日益扩大的国际金融交易中。公司网址：www.garnor.net",嘉诺邦恒（北京）资产管理有限公司,金融/银行/投...,1000-9999人,http://www.ganji.com/gongsi/105568149/?postUser=670707161,2018/1/3
数据分析师,上海-静安,不限                        ,大专,面议,美容美发,1人,"加班补助,做五休二","职位描述1、对会员各项数据进行分析，完善统计标准；2、负责部门搭建CRM报表体系，据用户行为偏好模型，产品关联分析模型，对用户进行个性化推荐，促进营销效果；3、维护并统计POS/CRM后台会员相关数据报表、业绩统计、处理以及相关部门同事协调沟通；4、通过挖掘商品/会员/各平台数据，优化预测商品和活动的销售规律，为终端和各业务部门提供有价值的数据信息；任职要求1、相关专业本科以上学历,熟悉Excel/Access，精通函数运用；2、较强的逻辑分析能力，责任心和沟通协调能力工作时间:9:30-18:00;",上海芙艾投资管理咨询有限公司,美容美发,500-999人,http://www.ganji.com/gongsi/105161986/,2017/7/26
客户总监/主管/经理,北京-丰台,不限                        ,不限,20000元以上,中介服务,3人,"包吃,包住,带薪年假,年底双薪,员工体检","福利待遇1.免费提供住宿。2.免费提供培训。3.奖励丰富：日奖励、周奖励、月奖励及年终奖的现金奖励以及千奇百怪的神秘奖励。还有根据业务量公司奖励的国外游，丰富的还能带全家国外游呢！4.不定期组织出游，休闲娱乐，拓展训练，集体活动；5.明确的晋升发展制度，公平，公正，公开任职要求：1、敢于挑战，男女不限,经验不限，学历不限。2、门槛低，团队带领，能吃苦，只要你想挣钱，我们就是你最好的选择！欢迎你在未来的日子里与我们一起共事！！！3、带领领过团队有突出业绩经验者优先。岗位职责：1.协助经理完成分公司销售目标。2.开发客户资源，有意向的客户立即上报经理并协助沟通谈判。3.做好员工的培训工作。4.负责维护好新老客户。5.做好与其他部门的沟通和协调工作。",招远恒泰置业有限公司,中介服务,500-999人,http://www.ganji.com/gongsi/105122882/,2018/1/3
金融/经济研究员,北京-朝阳,不限,大专,8000-12000元,金融/银行/投...,5人,"交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,带薪年假,做五休二,年底双薪","职位描述：公司提供为期6天的免费零基础带薪培训，公司是培养金融','的孵化基地。任职要求：1、热爱金融行业，有强烈的意愿进入金融投资领域，渴望成为金融职场中的精英一族；2、具有良好的自我学习能力与团队合作精神；3、具有良好的职业操守，有强烈的责任感；4、敢于挑战自我，勇于凭自己的努力和本领获得高收益。素质要求:1、培训期间有大量的空余时间；2、热爱交易、对金融经济知识感兴趣；3、有很强的执行力，自制力强；日常生活有规律、有计划；4、有较强的学习能力，新知识的接受能力；抗压能力；5、耐心细致，有责任心，具有保密意识；6、对于基础薄弱或者无经验者有专业的入职培训。7、公司提供良好的晋升机制，表现优异者每三个月进行登记评定。岗位职责：1、接受公司有关技术分析、基本面分析、宏观金融理论的“岗前培训”；2、学习贵金属，外汇等交易品种的基本操做技巧；3、参与实盘交易演练，从中选择适合自己的有效交易手段，并形成自己独特的交易体系；4、参与每日的交易分析与交易决策；5、操作公司账户，合理止损，力图收益“”化。职位待遇：初级交易员：底薪6000+20%提成+双休+奖金+公司福利（月收入6000-10000）中级交易员：底薪10000+20%提成+五险+双休+奖金+公司福利（月收入10000-16000）高级交易员：底薪15000+20%提成+五险+双休+奖金+旅游+公司福利（月收入15000以上）晋升空间：初级交易员->中级交易员->高级交易员->交易助理->交易顾问->交易经理->部门总监外汇市场是全球“”的金融市场，参与者包括国家央行、商业银行、公司、金融机构及个人投资者。经济全球化、金融自由化的国际潮流推动全球外汇市场迅猛发展。金融交易师在国际金融市场有一个雅号---“价格发现者”，随着人民币国际化加深，金融交易员和金融分析师是未来金融交易中急缺的','。据统计，在发达国家，专业的金融交易师年薪一般都是百万美金起步。如果您在交易行业有一定兴趣或者积淀，请抓住机会，加入我们的公司，参与到日益扩大的国际金融交易中。公司网址：www.garnor.net",嘉诺邦恒（北京）资产管理有限公司,金融/银行/投...,1000-9999人,http://www.ganji.com/gongsi/105568149/?postUser=670707161,2018/1/3
物流/仓储项目管理,广州-萝岗,不限,大专,面议,贸易/交通/运...,1人,"餐补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假","Keyresponsibilities:oProactivelyprovidedvariousanalysistoassistbusinessdecisions.oWorkcloselywithoperationteamtoworkouttheproposalsandquotationsaccordingtocustomers’needsbasedonsolidandsoundanalysis.oPrepareoperationalanalysisreport,consolidatedandpresentedthesummaryreport.oSeekcontinuousprocess,qualityandcostimprovementsbyresearchinganddevelopingoperationalpractice.oGivefulldatasupporttotheOperationProjectManager.oParticipateincontrollingoperationsqualityandcostefficientlytoachievetargets.oOperationcostanalysisanddatasupportforoperationteam.Qualifications:oStrongcommunicationandpresentationskills,goodinterpersonalskillsoGoodanalytical&problem-solvingskillsoStrategicandlogicalthinkingoGoodcommandofMSofficeapplicationsoMin5yearsworkingexperienceinAccounting,FinancialanalysisorBusinessAnalysisrelatedexperience.oAbachelordegreeoraboveinAccounting,FinanceorrelateddisciplinesoLanguage:EnglishandMandarinoGoodknowledgeoflogisticsservices",广州夏晖物流有限公司,贸易/交通/运...,100-499人,http://www.ganji.com/gongsi/105991481/,2017/9/27
电话销售,北京-NULL,不限,不限,8000-12000元,计算机/网络/通信,11人,"包住,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,做五休二","任职要求：1、应往届毕业生，有志于从事IT技术岗位服务（银行类软件项目方向）。2、专业方向不局限于计算机（网络）、电子信息、软件工程、（电气）自动化、测控、生仪、机电等专业，理工科专业背景或者有计算机语言基础者优先，如：C语言、C++、Java、.Net、PHP等。入职要求：入职前需参加笔试、技术面试，有相关行业2年以上项目经验者可直接与公司签订正式劳动合同，留任公司研发本部或外派至合作客户项目部（民生银行、招商银行、华夏银行、北京银行等商业银行项目部），享受正式员工待遇。企业培养：工作经验不足1年或者没有相关工作经验者，需接受岗前业务技能培训，并与公司签订定岗培训协议，享受实习生待遇，公司除提供住宿，6-10周之后与公司签订正式劳动合同，享受正式员工待遇。入职方向：软件开发、软件测试、软件系统安全运维、OTP数据报送、安全结算、DBA数据运维。入职薪资：每半年度调薪一次，专科学历底薪7000—8000元/月，本科学历底薪8000—9000元/月。福利待遇：1、公司免费提供住宿，员工公寓提供24小时热水，独立卫生间，有空调；2、享受园区高端','补助计划，学习期间不用支付任何费用，实训期间参与未上线项目会有1000-3000元不等项目奖金。3、公司统一配备电脑；4、签订正式劳动合同，享受国家规定的保险及福利待遇。5、报到后与单位签订《就业安置协议》（保入职起薪不低于7K-10K以上，保障工作满一年后，起薪不低于10K。每年享受14个月合同薪资（年底双薪），除合同底薪之外，每月另外享受项目提成和奖金、国家规定的五险一金等社保福利、餐补、交通补助、住房补助等。6、若不住宿公司一次生活补贴1500元起！工作时间：早九晚六工作地点：北京市海淀区中关村软件园。",中软高科（北京）科技有限公司,计算机/网络/通信,100-499人,http://www.ganji.com/gongsi/105135644/?postUser=569258538,2017/7/27
数据库管理/DBA,北京-朝阳,不限,中专/技校,8000-12000元,金融/银行/投...,5人,"交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,带薪年假,做五休二,年底双薪","职位描述：公司提供为期6天的免费零基础带薪培训，公司是培养金融','的孵化基地。任职要求：1、热爱金融行业，有强烈的意愿进入金融投资领域，渴望成为金融职场中的精英一族；2、具有良好的自我学习能力与团队合作精神；3、具有良好的职业操守，有强烈的责任感；4、敢于挑战自我，勇于凭自己的努力和本领获得高收益。素质要求:1、培训期间有大量的空余时间；2、热爱交易、对金融经济知识感兴趣；3、有很强的执行力，自制力强；日常生活有规律、有计划；4、有较强的学习能力，新知识的接受能力；抗压能力；5、耐心细致，有责任心，具有保密意识；6、对于基础薄弱或者无经验者有专业的入职培训。7、公司提供良好的晋升机制，表现优异者每三个月进行登记评定。岗位职责：1、接受公司有关技术分析、基本面分析、宏观金融理论的“岗前培训”；2、学习贵金属，外汇等交易品种的基本操做技巧；3、参与实盘交易演练，从中选择适合自己的有效交易手段，并形成自己独特的交易体系；4、参与每日的交易分析与交易决策；5、操作公司账户，合理止损，力图收益“”化。职位待遇：初级交易员：底薪6000+20%提成+双休+奖金+公司福利（月收入6000-10000）中级交易员：底薪10000+20%提成+五险+双休+奖金+公司福利（月收入10000-16000）高级交易员：底薪15000+20%提成+五险+双休+奖金+旅游+公司福利（月收入15000以上）晋升空间：初级交易员->中级交易员->高级交易员->交易助理->交易顾问->交易经理->部门总监外汇市场是全球“”的金融市场，参与者包括国家央行、商业银行、公司、金融机构及个人投资者。经济全球化、金融自由化的国际潮流推动全球外汇市场迅猛发展。金融交易师在国际金融市场有一个雅号---“价格发现者”，随着人民币国际化加深，金融交易员和金融分析师是未来金融交易中急缺的','。据统计，在发达国家，专业的金融交易师年薪一般都是百万美金起步。如果您在交易行业有一定兴趣或者积淀，请抓住机会，加入我们的公司，参与到日益扩大的国际金融交易中。公司网址：www.garnor.net",嘉诺邦恒（北京）资产管理有限公司,金融/银行/投...,1000-9999人,http://www.ganji.com/gongsi/105568149/?postUser=670707161,2018/1/3
普工/学徒工,广州-萝岗,不限,初中,3000-5000元,生产/制造,100人,"包吃,包住,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,加班补助,年底双薪,员工体检","16元/时，广州捷普电子高薪诚聘，月入5000～5600元捷普电子(广州)有限公司，著名美资企业，成立于1966年，是一家总部设于美国佛罗里达州，全球员工45，000多位，并上市于纽约证券中心的跨国集团一.','要求：男女不限，18-45周岁，带本人身份证，免费体检,不用穿无尘衣！带上本人身份证，复印件2张，一寸照3张！二.福利与待遇：1、正式工：5天8小时底薪1900，加班按劳动法，平时加班16.37元/小时，周六日加班21.83元/小时，法定日加班32.75元/小时2、计时制：16元/小时，176-192元/天，每月小组奖100～300元，月收入可达4200-5600元，两班倒，全部坐着上班，包住提供吃。工作满7天可以借支200元。工厂有大型食堂，川菜，湘菜，粤菜，工厂食堂消费标准:4元～6元/餐，饭后免费赠送水果，每个月15号当天准时发放上月工资！三.工作时间内容：1.工作时间：两班倒，早上07:00-晚上19:00，或者8:00---8:00晚班反过来，15天一轮班，一个月休息4天。2.工作内容：主要是从HP打印机电子，组装，打包装，分检，测试，扫描，贴商标等等工作岗位，工作简单轻松，易学上手！四.交通专线：每天专车往返华景新城，天河，江南西，东圃，开发区西区，东区，地铁5号线（文冲D出口）坐公交20分钟车程可到达工厂距离地铁站3公里！交通非常方便！五.娱乐免费设施：免费WiFi、图书馆，游戏厅、网吧，篮球场，桌球场，健身室，便利店，门诊室，邮局,ATM机等。六、面试须知：（注意：每天中午11点准时“带上行李物品身份证”到地铁5号线（大沙东站）D出口集合。带上（行李）当天安排宿舍！七、报名方式：编辑信息：姓名+性别+年龄+捷普电子到张主管，收到回复短信请带上行李身份证，准时到达集合地点！八、工厂地址：广州市黄埔区骏成路128号总厂黄埔区文冲地铁站护林路1199号状元谷分厂",广州捷普电子（招募中心）,生产/制造,10000人以上,http://www.ganji.com/gongsi/171639/?agentCompany=105577142,2018/1/3
