职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
"前端工程师, , ",,北京-海淀区,,无工作经验,本科,25000-30000,,1,,岗位职责:任职资格:,百度在线网络技术（北京）有限公司,"互联网, 电子商务",外资（欧美）,,500-1000人,,01/01/2018,前程无忧,http://jobs.51job.com/beijing-hdq/92342458.html?s=01&t=0
数据分析工程师,,上海-杨浦区,,2年经验,,10000-20000,,1,,工作职责：1.负责日常报告的分析与输出，对业务进行阶段性分析与总结；2.响应运营业务线数据分析需求，做出逻辑清晰的分析报告。3.根据数据信息，联合其他部门进行业务操作。任职资格：1.熟练使用mysql，有丰富的sql使用经验；2.逻辑能力强，思维清晰敏捷，有较强的协调能力；3.工作适应能力强，能较快接受新事物；4.有数据分析经验或者开发经验优先。,上海优刻得信息科技有限公司,"互联网, 电子商务,计算机服务(系统、数据服务、维修)",民营公司,,500-1000人,,01/01/2018,前程无忧,http://jobs.51job.com/shanghai-ypq/93260865.html?s=01&t=0
Java开发工程师,,深圳-福田区,,3-4年经验,大专,10000-15000,,2,,1、3年以上数据采集，爬虫相关工作经验；,深圳市博悦科创科技有限公司,"计算机软件,互联网, 电子商务",民营公司,,500-1000人,,01/01/2018,前程无忧,http://jobs.51job.com/shenzhen-ftq/97397471.html?s=01&t=0
大数据应用工程师,,上海-徐汇区,,3-4年经验,,20000-40000,,1,"五险一金,餐饮补贴,通讯补贴,专业培训,弹性工作,年终奖金",岗位设置目的：基于Storm、Flink开发实时数据平台。岗位职责：1.负责各种源数据库->kafka的工具研究与搭建；2.负责搭建Kafka、Storm、Flink平台；3.负责基于Storm、Flink开发实时计算作业并上线、维护；4.参与大数据环境下的ETL新技术研究。任职要求：1.大专及以上学历，计算机、数学、统计等相关专业；2.3年以上实时计算开发经验；3.掌握scala编程语言，熟练运用Kafka、Storm编程；4.掌握Flink以及其他大数据组件如Flume、Hbase、Cassandra的优先；5.良好的团队合作能力、沟通能力。,上海拿米金融信息服务有限公司,"互联网, 电子商务,金融, 投资, 证券",民营公司,,150-500人,,01/01/2018,前程无忧,http://jobs.51job.com/shanghai-xhq/96673078.html?s=01&t=0
系统架构师,,北京,,5-7年经验,,30000-40000,,1,"五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检","岗位职责：1、对公司产品进行系统架构设计，搭建系统核心框架，组织并参与设计评审，以及代码检查，对不合理的设计提出建议，不合规的代码提出修改要求；2、对线上运营产品，根据业务发展提出新的架构设计，能够契合新的技术及业务发展趋势；3、对技术难点进行攻克，把握公司的技术发展走向，为未来的发展提出的规划和建议；任职要求：1、计算机相关专业本科以上学历，8年以上相关工作经验；2、JAVA基础扎实；熟练使用Spring、Mybatis、Memcache、Redis、Dubbo等常用技术框架，熟悉各种技术框架的特点，优点以及缺点，能够快速的搭建系统，并解决技术难题；3、具有大型分布式系统经验，精通大型分布式系统的平台架构设计及其开发方案——例如RabitMQ/ActiveMQ,Kafka/Jafka，Hadoop/Hive等；精通大型分布式系统中Linux下的部署和开发；4、熟悉MYSQL/oracle，数据库基础扎实，可以进行数据库表结构设计，对常用SQL查询熟练；熟悉sql的优化原则，对大数据量系统有丰富的经验；5、熟悉eclipse/svn/maven常用工具，熟悉linux/nginx/tomcat性能特点及常用操作；6、具备设计方案的编写能力，能够根据要求编写系统方案；7、具备良好的沟通能力和团队协作精神。",北京德法利投资有限公司,"互联网, 电子商务,通信, 电信运营、增值服务",民营公司,,150-500人,,01/01/2018,前程无忧,http://jobs.51job.com/beijing/89394300.html?s=01&t=0
", ",,上海,,3-4年经验,本科,10000-20000,,5,,岗位职责:任职资格:,平安国际融资租赁有限公司,租赁服务,外资（非欧美）,,1000-5000人,,01/01/2018,前程无忧,http://jobs.51job.com/shanghai/92253020.html?s=01&t=0
算法工程师,,广州-天河区,,1年经验,本科,12000-22000,,1,"优秀团队,技术牛人,产品强大,专业培训,五险一金,弹性工作,员工旅游",,广州数沃信息科技有限公司,"计算机软件,互联网, 电子商务",民营公司,,少于50人,,01/01/2018,前程无忧,http://jobs.51job.com/guangzhou-thq/92735378.html?s=01&t=0
数据开发工程师,,杭州-西湖区,,无工作经验,,15000-30000,,1,"五险一金,员工旅游,餐饮补贴,弹性工作,年终奖金,绩效奖金,专业培训,定期体检,通讯补贴","岗位职责：1、负责金融相关业务的大数据、数据仓库产品的功能设计以及开发，保证数据的准确性和稳定性；2、深入理解公司业务，负责公司各类数据产品数据抽取、清洗，协助完成应用系统中数据上下层衔接处理工作；3、负责对用户数据进行分析和挖掘，提供决策支持，充分体现数据的商业价值；4、负责研发基础的服务、开发标准代码框架和代码库，提升业务团队的开发效率和开发质量。任职要求：1、计算机、数学、统计或相关专业本科及以上学历，三年以上软件开发工作经验，具备良好的识别和设计通用框架及模块的能力；2、具有扎实的Java基础，熟悉并理解常用的开源框架；3、精通Linux系统，熟悉Shell，Python等至少一门脚本语言；4、精通至少一种关系型数据库如Oracle、MySQL等，熟练掌握Hive/SQL，熟悉Hadoop或Spark生态相关技术，包括MapReduce、Hdfs、HBase、Hive等，熟悉实时数据处理者优先；5、具有良好的商业敏感度和优秀的数据分析技能，能够开发创新而实际的分析方法以解决复杂的商业问题者优先；6、积极主动，认真负责，头脑灵活，具有良好的沟通、团队协作能力，能够在实践中不断学习；7、有大流量高并发处理经验，并能够独立完成复杂系统设计与架构者优先。工作时间：9:00-18:00双休福利待遇：六险一金、餐补、话补、入职体检、年底体检、生日礼品、团建活动、绩效奖金、年底奖金...您将共事的，是一群朝气蓬勃的年轻人。他们有的是梦想，有的是拼劲。他们聚集在一起，为打造中国最专业的三农消费金融平台而努力。您将进入的，是一家有情怀的企业。她资质齐全,背景雄厚。她将推广三农普惠金融为己任，力求助推三农发展，助力农民增收。我们为您提供的：薪资待遇业内领先！五险一金只是标配！各种补贴五花八门！办公环境大气舒适！工作氛围轻松活跃！双地铁口交通便利！早九晚五加双休，法定节假加年假！定期体检生日趴，员工旅游和团建！你想要的，国鼎都给你！你需要拥有的：大BOSS天天发红包，拼的是人品！国鼎招兵买马纳新人，拼的是才华！只要你三观端正人品好，才华横溢能力棒，国鼎的大门便为你敞开！别的不BIBI，只等YOUCANYOUCOME！",国鼎文化科技产业发展股份有限公司,"互联网, 电子商务,金融, 投资, 证券",民营公司,,150-500人,,01/01/2018,前程无忧,http://jobs.51job.com/hangzhou-xhq/94862761.html?s=01&t=0
"数据分析师, ",,上海,,2年经验,本科,15000-20000,,1,"五险一金,餐饮补贴,弹性工作,通讯补贴,专业培训,出国机会,绩效奖金",岗位职责：1.独立完成游戏内的日常数据拉取需求，对业务部门进行常规的数据支持；2.熟悉游戏行业中的数据指标体系，对游戏内的数据进行监控，并能及时的根据数据变化开展原因分析；3.参与和协助新项目的数据埋点，以全面应对游戏上线后的各类分析需求和数据挖掘；4.根据运营节点，针对性地分析游戏产品内的运营活动、成长追求等命题，得出分析结论并根据结论提出针对性的优化方案；5.能够深入游戏，根据游戏内的成长线、流失点、用户行为特征等方向进行数据挖掘和专项分析，并建立统一化的数据模型；职位要求：1.本科以上学历，2年及以上游戏行业数据分析工作经验，热爱游戏，对游戏的理解能力强，了解游戏运营工作的内容；2.拥有良好的协作和沟通能力，善于发现和总结问题，能承受较大的工作压力；3.具备较强的数据敏感性和逻辑思维能力，擅长从数据角度进行深入分析和挖掘4.具备优秀的自我驱动力和团队意识；5.了解基本数据分析方法，精通HIVE、SQL等查询语言，拥有Python、R、Shell任一语言能力者优先；了解基础的数据算法和模型应用，可以熟练运用EXCEL进行数据整理和分析，并以PPT的形式产出分析报告,DeNA,"互联网, 电子商务,网络游戏",外资（非欧美）,,150-500人,,01/01/2018,前程无忧,http://jobs.51job.com/shanghai/95308663.html?s=01&t=0
"算法工程师, ",,上海-静安区,,3-4年经验,硕士,15000-30000,,1,"五险一金,餐饮补贴",1理解民航机载数据、维修数据及其业务背景；2飞机关键系统如发动机、空调的性能监控算法研发及部署实施；3挖掘设备维修数据中的业务知识，辅助设备故障诊断和故障隔离；4持续优化部署的模型，达到客户优化目标；5跟踪业内机器学习算法动态，并将之应用到性能监控和故障诊断隔离中。任职要求：1统计、数学、航空航天等相关专业硕士及以上学历，3-5年以上相关工作经验;2扎实的数理统计理论基础，熟悉常用的机器学习和数据挖掘算法；3熟练掌握SQL，Hive，良好的数据可视化技能，有海量数据处理和挖掘经验者优先;4精通至少一类编程语言，比如R或者Python，有实际项目开发经验;5熟练掌握主流机器学习、数据挖掘工具包，熟练掌握Hadoop平台的使用;6熟悉hadoop及spark相关技术，如RHIVE，sparkR，pyspark优先；7有民航数据处理、分析及预警经验者优先。,上海杰之能软件科技有限公司,"计算机软件,计算机服务(系统、数据服务、维修)",民营公司,,500-1000人,,01/01/2018,前程无忧,http://jobs.51job.com/shanghai-jaq/95541984.html?s=01&t=0
