学历要求,职位诱惑（福利待遇）,经验要求,发布网站,公司规模,薪资,招聘人数,专业要求,工作性质,公司名称,公司主页链接,发布时间,公司发展阶段（融资阶段）,信息来源,职位所属部门名称,公司性质,工作地点,岗位描述,职位名称,公司行业
本科,,3年,https://zhaopin.meituan.com,10000人以上,20K-40K,,,全职,美团点评,www.meituan.com,2017/12/29,,https://zhaopin.meituan.com/job-detail?jobId=252700850703434974,技术工程及基础数据平台,电商平台,北京市,"岗位职责
1. 参与美团点评数据的使用、存储、处理过程中的安全风险评估。

2. 参与美团点评大数据平台的权限设计、流程优化。

3. 接触各类开源平台，获得大牛指导。

岗位要求
1. 所学专业是计算机或相关专业。

2. 有较强的动手能力和学习能力，熟悉一门数据处理语言，如SQL、JAVA、Python、Perl等，熟悉unix或者linux操作。

3. 具备扎实的专业基础，良好的沟通能力和团队合作，主动积极、乐于面对挑战。

4. 了解数据安全成熟度模型、数据生命周期管理等相关内容更好。

5. 对Hadoop、Hive、Hbase等分布式平台有一定的理解更好。

6. 了解设备指纹及算法相关内容更好。",数据安全岗,O2O/生活服务，战略投资
本科,,3年,https://zhaopin.meituan.com,10000人以上,15K-50K,,,全职,美团点评,www.meituan.com,2017/12/28,,https://zhaopin.meituan.com/job-detail?jobId=197879036411248645,外卖配送事业群,电商平台,北京市,"【美团点评】资深数据仓库/数据平台开发技术专家（外卖配送业务）

资深数据仓库技术专家
1、负责大数据分析系统和BI系统，负责数据仓库的基础架构、ETL设计、流程优化；建立数据生命周期框架，整体管理数据的生产、建模、应用及质量体系建设；
2、负责即时物流调度大数据平台的设计与落地实现；
3、对海量数据整合分析，挖掘产品及潜在数据信息，参与商业分析决策的过程，为算法策略应用提供完善的数据平台支持；

任职要求
1、精通数据仓库理论、具备大型数据仓库架构设计、模型设计优化等能力；
2.  对数据敏感，有较强的逻辑分析能力，对 (大) 数据处理和分析有多年从事经验，有复杂业务和算法的数据平台建设经验
3、3年以上完整实施DW/BI项目实施和开发经验 、有2年及以上的团队管理经验


高级数据平台开发工程师or技术专家 
 
岗位职责
1、 O2O项目数据平台架构、设计；
2、指导工程师完成数据平台各项任务，对结果负责；
3、从数据中发现问题，推动业务平台的数据结构的改进；

任职要求
1、本科及以上学历，扎实的计算机专业基本功；
2、3年以上 Java 开发经验，精通 Java 及面向对象设计开发，对部分 Java 技术有深入研究，研究过优秀开源软件的源码并有心得者优先;
3、 熟悉常见设计模式，精通 Spring， MyBatis等流行开源框架；
4、精通 MySQL 应用开发，熟悉数据库原理和常用性能优化技术，以及 NoSQL，Queue 的原理、使用场景以及限制；
5、参与过大型复杂分布式互联网 WEB 系统的设计开发者优先，拥有和工作年限相称的广度和（或）深度；
6、有较强的逻辑思维能力，善于分析、归纳、解决问题；能够独立或带队进行项目开发；
7、有业务系统开发经验的. 对原有业务系统有深度和广度的了解, 以及对原有系统的改进意见(包括业务架构, 业务流程等)；  ",数据开发,O2O/生活服务，战略投资
本科,,3年,https://zhaopin.meituan.com,10000人以上,20K-35K,,,全职,美团点评,www.meituan.com,2017/12/22,,https://zhaopin.meituan.com/job-detail?jobId=249752248242798668,点评平台及综合事业群,电商平台,上海市,"【岗位要求】：
1. 大学本科及以上学历；计算机相关专业；三年以上大数据开发经验；
2. 熟悉数据仓库建模方法论，具备海量数据加工处理（ETL）相关经验 ，有独立负责业务主题模型设计经验
3. 熟练掌握Hive语法，精通复杂SQL编写与优化
4. 思路清晰、对数据敏感，能从数据中发现问题并解释，良好的沟通协调能力

【工作职责】：
1. 参与算法、BI等业务团队的需求讨论，针对业务需求设计与开发主整题集市，同时完善体数据仓库体系架构
2. 针对数据一致性、准确性、及时性，制定数据管理与治理机制，监督保障数据的生产运维",数据仓库ETL开发工程师,O2O/生活服务，战略投资
本科,,2年,https://zhaopin.meituan.com,10000人以上,25K-35K,,,全职,美团点评,www.meituan.com,2017/12/20,,https://zhaopin.meituan.com/job-detail?jobId=176279340782370937,点评平台及综合事业群,电商平台,上海市,"岗位职责
1. 作为业务团队的一员，负责交易类业务的数据分析工作。
2. 建立业务关键指标体系，提供有效的分析方法，持续动态发现跟进业务问题。
3. 基于平台数据工具，进行一系列的报表开发，提供常规及专项的数据报表支持。
4. 优化梳理业务数据模型，确保高效，准确，统一的数据产出。
5. 建立数据对账体系，针对系统对账、财务审计等各类需求，提供对账服务。

岗位要求
1. 全日制本科及以上学历， 1年以上数据分析相关工作经验。
2. 熟练使用 SQL，能写复杂的SQL（硬性要求）。在数据提取平台上高效准确的提取分析业务数据。
3. 有丰富的数据分析经验，对数据敏感。有数据挖掘技能及经验者优先。
4. 优秀的学习能力，能够快速理解业务逻辑，根据需求做任务拆解。
5. 强烈的责任心，优秀的执行力，良好的沟通能力。",数据开发工程师（分析）,O2O/生活服务，战略投资
本科,,2年,https://zhaopin.meituan.com,10000人以上,15K-28K,,,全职,美团点评,www.meituan.com,2017/12/20,,https://zhaopin.meituan.com/job-detail?jobId=171151830362701841,点评平台及综合事业群,电商平台,上海市,"岗位职责
1. 负责新美大数据系统的设计和开发，并负责关键技术的攻克;
2. 维护和升级现有系统的技术发展规划，满足新业务实现要求；
3. 快速定位问题并主导问题的解决。

任职资格
1. 大学本科及以上学历；计算机相关专业；
2. 对Tomcat等应用服务器有较为深厚的应用以及对其内核有较深的理解和应用经验，对 Spring、Struts、Hibernate、iBatis等开源框架应用经验丰富，对框架本身的体系有较为深厚的理解和应用经验；
3. 三年以上使用Java开发经验，责任心极强，至少参与或负责过两个以上较大型项目设计；
4. 熟悉Spring MVC,Mybatis，JSP,Servlet等开发，熟悉J2EE规范，熟练使用各种常用设计模式，同时对事务处理、消息管理等有一定经验，对分布式结构体系有较强理解的优先考虑；
5. 有数据库的设计经验，至少熟悉一种数据库系统Mysql/Oracle；
6. 熟悉Linux，熟悉Storm、Hadoop、Spark、HIVE等大数据生态圈技术优先考虑；
7.了解机器学习或具有推荐系统开发经验者优先;
8. 具有良好的沟通、团队协作、计划和创新的能力；
9. 具有互联网行业经验背景者优先；
10. 有前端相关开发经验者优先",数据系统开发工程师,O2O/生活服务，战略投资
硕士,,3年,https://zhaopin.meituan.com,10000人以上,20K-40K,,,全职,美团点评,www.meituan.com,2017/12/19,,https://zhaopin.meituan.com/job-detail?jobId=180132105661104247,点评平台及综合事业群,电商平台,上海市,"工作职责：
－你将致力于通过机器学习、数据挖掘、实时数据流分析等前沿技术手段对大数据进行分析，挖掘各类用户特征，为用户提供最佳的个性化搜索/推荐体验
－你将从多个角度对用户进行建模，并不断优化机器学习模型来优化点评搜索的用户体验

职位要求：
－有三年以上相关工作经验，机器学习排序有一定的理解和应用经验
－精通JAVA/Python，有良好的编程习惯－对数据结构和算法设计具有深刻的理解
－对数据敏感，数学功底扎实，有统计相关背景优先
－有MapReduce或日志挖掘开发经验者优先
－具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题/解决问题
－有强烈的上进心和求知欲，善于学习新事物",算法开发工程师（搜索技术中心）,O2O/生活服务，战略投资
本科,,不限,https://zhaopin.meituan.com,10000人以上,2K-4K,,,实习,美团点评,www.meituan.com,2017/12/19,,https://zhaopin.meituan.com/job-detail?jobId=249028528112984524,广告平台,电商平台,北京市,"【职位说明】
1. 参与大规模机器学习平台建设与优化，包括前沿算法研究与实现，高性能计算相关开发等；
2. 参与广告业务模型优化，包括但不限于大规模离散稀疏模型、深度学习模型的实验与调优等；
3. 参与部分数据分析、数据处理等工作；
【任职要求】
1. 计算机相关专业硕士在读（2019年毕业优先），实习时间不少于3个月 & 每周不少于3天；
2. 良好的编程功底，能熟练使用C/C++/Python等语言编程，熟悉linux平台开发；
3. 积极主动、较强的学习能力，对机器学习领域感兴趣、未来想从事这一方向的工作；
4. 加分项：
   1. 有模型应用和算法调参经验优先，包括但不限于FFM/GBDT/DNN/LSTM/FTRL/Adam等；
   2. 熟悉主流机器学习计算框架并有应用经验优先，包括但不限于Parameter Server／MxNet／TensorFlow／Caffe等；
   3. 有高性能计算相关编程背景优先，包括但不限于MPI／CUDA／OpenCL／OpenMP／ZMQ等；",算法开发工程师（实习）,O2O/生活服务，战略投资
本科,,不限,https://zhaopin.meituan.com,10000人以上,2K-4K,,,实习,美团点评,www.meituan.com,2017/12/19,,https://zhaopin.meituan.com/job-detail?jobId=249027604451746248,广告平台,电商平台,北京市,"【工作职责】

1. 分析美团点评搜索广告数据背后的根因

2. 按时出具分析报告，完成数据结果的展示分析

3. 深度挖掘广告数据、业务数据和用户数据，为业务发展提供决策依据和优化建议

【职位要求】

1. 计算机/经济学/统计学相关专业，重点院校本科及以上学历

2. 熟悉 SQL，熟练使用 PPT 和 Excel、数据透视、图表功能等

3. 有海量数据处理能力，能够使用Java/Python/Scala中的一种语言开发，掌握Hadoop/Spark/Hive中一种或多种平台

4. 数据思维清晰，逻辑能力强，对数据敏感，有好奇心",数据开发工程师（实习）,O2O/生活服务，战略投资
本科,,2年,https://zhaopin.meituan.com,10000人以上,20K-40K,,,全职,美团点评,www.meituan.com,2017/12/19,,https://zhaopin.meituan.com/job-detail?jobId=184174783193333868,金融服务平台,电商平台,上海市,"岗位职责:
1.支持业务团队的数据建设工作，负责日常业务数据指标的梳理和监控，协作推动业务部门的数据化运营； 
2.深入理解业务产品的方向和战略，基于数据分析手段，描述业务特征，发现业务问题，并给出行动建议以推动业务成长； 
3.应用各类统计分析、数据挖掘、机器学习方法建立数据模型解决实际问题。 

职位要求：
1.2年以上数据分析/数据挖掘相关经验，熟练使用SQL、Excel、R/Python或SAS/SPSS等； 
2.具有良好的商业敏感度和优秀的数据分析技能； 
3.熟悉分类、回归、聚类等常用的机器学习/数据挖掘方法； 
4.了解Hadoop/Spark/Hive等常用大数据处理工具； 
5.良好的语言沟通与表达能力和自我驱动力。",数据挖掘/算法-金融创新,O2O/生活服务，战略投资
本科,,3年,https://zhaopin.meituan.com,10000人以上,30K-50K,,,全职,美团点评,www.meituan.com,2017/12/11,,https://zhaopin.meituan.com/job-detail?jobId=246109706582285749,外卖配送事业群,电商平台,北京市,"工作职责：
负责算法工程平台的相关设计和开发工作，包括但不限于实时特征，离线特征的加工和计算，算法模型的在线效率优化，分流实验体系搭建和开发。
优化已有的工程架构，满足海量特征和大数据模型的加载和使用。
保证所有在线算法稳定运行，根据业务发展做好系统整体容量规划。

能力要求：
4+年互联网从业经验，211/985大学毕业
有机器学习和特征工程领域相关的背景加分，有知名互联网公司工作经验者加分
有大规模分布式计算平台的设计，开发，使用经验
熟练掌握java，python语言，算法基本功扎实，对并发编程有深入理解
对Kafka，Zookeeper，Redis等后台中间件比较熟悉
有Storm，Spark平台开发经验加分

软素质要求：
清楚高效的逻辑表达能力
敏捷项目管理能力，带过5+人以上团队完成项目目标，有目标拆解经验
对完成目标有饥渴感，能够自驱主动的推动目标达成",算法工程平台负责人,O2O/生活服务，战略投资
