职位名称,职位所属部门名称,工作地点,工作性质,经验要求,学历要求,薪资,专业要求,招聘人数,职位诱惑（福利待遇）,岗位描述,公司名称,公司行业,公司性质,公司发展阶段（融资阶段）,公司规模,公司主页链接,发布时间,发布网站,信息来源
JAVA高级研发工程师-数据方向,餐饮生态平台,上海市,全职,3年,本科,20K-35K,计算机相关专业,NULL,NULL,"【任职要求】
1. 本科及以上学历，计算机相关专业； 3年以上工作经验；
2. 深入使用Java，熟悉掌握常用的Java类库及框架，如多线程、并发处理、I/O与网络通讯，Spring、MyBatis等；
3. 熟悉MySQL数据库以及优化方法，了解常用的NoSQL产品，如Redis，MongoDB，Memcache；
4. 熟悉并使用过各种大数据相关框架或组件优先，如Kafka、Storm/JStorm、Hadoop/Spark、Hive、HBase等；
5. 有分布式系统、实时计算开发经验的优先;
6. 具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；
7. 具有良好的沟通、团队协作、计划和主动性思考的能力，在互联网或大数据业界有一定影响力公司的工作经验者优先

工作职责：
-参与核心业务系统的技术规划和业务规划工作，深入理解业务需求，抽象系统模型，进行系统设计及开发工作；
-指导低级别工程师工作和成长。
-建设基于大数据平台的应用系统。
-Olap系统和数据监控系统开发",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=198227187021742123
美团出行-数据产品经理,美团出行,北京市,全职,3年,本科,15K-25K,NULL,NULL,NULL,"岗位职责
1、深入了解并参与产品及运营的业务决策流程， 提供数据决策支持；
2、对业务(产品、运营、经营分析)各环节产生的数据，做采集整理、统计与深度挖掘分析，监控与发掘问题、提出改进方向、做出数据结论；
3、通过数据分析和数据模型等数据分析能力，提供或辅助提供优化的运营策略或产品方案；
4、理解业务逻辑，找出关键的业务节点、分析模型路径并将数据产品化；
5、撰写产品运营及相关领域的深度数据分析报告。
岗位要求
1、3年以上数据分析/挖掘相关工作经验，互联网相关领域优先；
2、具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练使用R或Python、excel、SAS/SPSS、PPT等工具；
3、具有较强的思维逻辑能力，良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、建模的经验；
4、具备良好的沟通协调能力有独立开展分析研究项目经验；’
5、良好的抗压能力和和团队精神。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=273319219508943973
云端数据平台产品经理（无人车）,餐饮平台,北京市,全职,5年,本科,25K-50K,NULL,NULL,NULL,"工作职责：
1. 整体负责配送无人车大数据平台产品设计与规划； 
2. 负责数据管理平台功能完善，包括数据质量体系、权限体系搭建； 
3. 负责BI&数据可视化平台功能完善，包括自助报表、自助Dashboard搭建； 
4. 负责团队数据驱动氛围建设，包括数据能力培训体系推广，自助数据功能推广； 
5. 负责团队指标集中化&可视化管理，梳理指标标准化定义。
任职要求：
1. 本科学历以上，4年及以上互联网产品经理岗位工作经验；
2. 有大数据产品团队经验，参与过大型互联网公司数据治理项目经验； 
3. 熟悉数据仓库、商业智能基本理论，有数据分析系统使用经验； 
4. 较强的逻辑思考能力和归纳总结能力，具备产品&业务规划能力； 
5. 有较强的沟通协调能力和主动性，为结果负责。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232387539332025714
数据平台Java后台开发-无人车,餐饮平台,北京市,全职,5年,本科,25K-50K,扎实的计算机专业基本功,NULL,NULL,"工作职责

负责无人配送车数据平台后台的设计与实现；
负责无人配送车相关数据的存储、查询、挖掘等的功能开发；
负责相关新技术研究；

工作要求

1. 扎实的计算机专业基本功，强大的代码编写能力；
2. 熟练掌握 Java 及面向对象设计开发，对部分 Java 技术有深入研究，研究过优秀开源软件的源码并有心得者优先；
3. 了解 SOA 架构理念、实现技术；熟悉常见设计模式，熟练掌握 Spring、myBatis 等框架；
4. 熟练掌握 MySQL 应用开发、数据库原理和常用性能优化和扩展技术，以及 NoSQL，Queue 的原理、使用场景以及限制
5. 研究过 http 协议、搜索引擎、缓存、jvm 调优、序列化、nio、RPC 调用框架等，有相应实践经验者优先
6. 参与过大型复杂分布式互联网（特别是电商） 用户端 WEB / API 系统的设计开发者优先
7. 拥有和工作年限相称的广度和（或）深度，有较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题；
8. 高度的创业心和投入度，既能搞定牛逼的技术难题，同时又热切地关注业务，用技术力贡献于业务成功",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232411685807787307
人力资源数据分析师,人力资源平台,上海市,全职,5年,本科,20K-30K,数学与应用数据、统计、应用心理学、信息与信息管理专业毕业,NULL,NULL,"岗位职责
1、从人力资本分析的视角为集团输出战略规划，撬动业务发展的管理杠杆；
2、完成BG日常HCBI的分析工作；
3、通过沟通与实践不断迭代和探索更科学的高价值分析结果；
4、总结管理问题，通过管理工具推进战略的优化和落地；
岗位要求：
1、5年以上数据分析项目相关的工作经验，负责过人力资源相关分析、商业分析或市场分析、管理咨询工作，有美世、北森、怡安翰威特、和君、德勤、普华永道、尼尔森、IPSOS等工作经验者优先考虑；
2、数学与应用数据、统计、应用心理学、信息与信息管理专业毕业，熟练使用Excel和基本函数、熟悉SPSS、SAS等统计工具优先。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/23,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=272994130166946832
数据产品经理（业务数据组）,点评平台及综合事业群,上海市,全职,3年,本科,20K-35K,NULL,NULL,NULL,"岗位描述：
1、结合美团点评大数据能力，识别商家的业务场景和需求，用产品和解决方案的形式服务商户
2、负责数据体系的建设，探索其商业模式，实现数据为客户赋能并产品化、可视化；
3、负责与业务和商户沟通，并把控素具产品培训、运营；  
4、协助对数据产品进行商业定价

岗位要求：
1、3年以上数据分析、数据挖掘等相关产品策划经验，有业内成熟的大数据产品从业经验优先； 
2、 深入了解品牌商客户的品牌、市场、营销、电商和相关的数据需求，有参与分析和挖掘用户需求经验
3、对数据敏感，擅长分析、总结，能够将数据分析与业务相结合，通过数据独立给出优化建议； 
4、自我驱动能力强，具备良好的组织、协调、沟通能力，善于调动各个相关团队的积极性；
5、出色的逻辑分析能力，数据分析能力和资源整合能力；优秀的文字表达能力；
6、思维活跃，善于总结。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/23,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=272932996814609384
美团外卖智能配送-资深机器学习专家,外卖配送事业群,北京市,全职,2年,本科,30K-50K,NULL,NULL,NULL,"外卖配送策略组机器学习team【高级机器学习/算法工程师】
岗位职责：
负责外卖配送环节涉及到的策略相关工作，如时间预估、骑手语音识别、外卖配送的知识图谱构建等
这里有海量的数据、强大的计算资源，可以让你的idea变成现实
这里扁平，沟通顺畅，平等各抒己见。
这里是专业的机器学习团队，能够真正学习到机器学习、人工智能是如何在策略工作中发挥巨大作用，而不是简简单单的跑跑数据、列列表格。

工作要求：
（0）工作3年以及以上，对于机器学习领域有丰富项目经验。
（1）对机器学习有比较扎实的基本功，深入了解常用算法原理、应用场景，能够用之解决问题
（2）良好的数据结构和算法基础，具有较强编码能力
（3）对数据敏感，逻辑思维清晰，能够很好的理解业务需求，根据要求建立模型
（4）熟悉了解python常用的算法库，sklearn、keras、numpy、pandas等。
（5）对深度学习、增强学习有经验者优先，对spark、hadoop熟悉者优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/23,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=178380649358606415
美团外卖配送-资深数据产品经理,外卖配送事业群,北京市,全职,2年,本科,15K-30K,NULL,NULL,NULL,"岗位职责： 
理解公司战略和业务发展方向，梳理各业务部门数据需求形成有效的数据产品方案，对数据产品有owner意识 
规划配送平台数据产品，制定阶段性产品目标 
跨部门协调沟通，有效推进项目进展，完成既定产品目标 
监控现有数据并对异常数据进行分析，协调研发部门处理异常情况，善于梳理总结形成流程或规范以便前瞻性解决类似问题 
熟悉现有数据产品，对新上线数据产品进行培训协助业务理解和运用 
任职资格： 
5年以上工作经验，统招本科以上学历
3年以上互联网数据产品经验，有快递、配送或O2O行业数据背景优先 
条理清晰，责任心强 
良好的跨部门沟通协调能力，学习能力强，工作积极能承受较强工作压力 
熟悉SQL查询，熟悉Hive操作，了解Axure",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/23,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=178060726757408807
美团外卖智能配送-数据挖掘算法工程师/专家,外卖配送事业群,北京市,全职,不限,本科,25K-50K,NULL,NULL,NULL,"- 2年以上工作经验，拥有数理统计、数据挖掘、机器学习等相关知识
- 具备较强的业务理解和抽象能力，拥有大数据分析、定价机制、大规模机器学习等从业经验者优先
- 良好开发能力（Java/Python/R/Scala等），熟悉大数据开发平台（Hadoop/Hive/Spark/Storm)
- 具有较强学习能力、自我驱动能力、责任感

关于我们
1.我们是一家技术驱动的O2O企业。
2.这是一个学习型组织，重视分享和成长，工作标准不断提高。
3.美团重点项目“美团配送”，致力于解决所有最后一",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/23,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=6899
系统安全工程师（无人车）,餐饮平台,北京市,全职,5年,本科,25K-50K,NULL,NULL,NULL,"工作职责

从事人工智能及IoT领域的网络安全技术研究
设计及参与实施人工智能网络安全架构，保证配送无人车网络环境安全
设计及参与实施安全的网络传输环境，负责建设或参与建设高强度、易用的人工智能网络安全协议
设计及参与实施授限及认证体系
能独立完成需求分析、概要设计、编码和单元测试等工作,具备规范的代码风格和逻辑能力
职责要求

熟悉网络安全攻击方法（网络安全扫描原理及能力、协议分析、破解）
能从网络架构及协议层识别网络安全分析
熟悉多种身份认证技术的使用场景和技术实现方法，有软件研发经验
对数据加密、签名及完整性检测有研发经验
具有以下条件者优先：
有Linux、Android等OS的漏洞挖掘、POC、Exploit编写经验
熟悉Linux操作系统
熟悉TCP/IP，HTTP，HTTPS等网络协议
熟悉PKI，对RSA加密使用场景，对网络安全协议有深入了解",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/22,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232403115202891159
