职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,职位描述和职位要求,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
数据工程师,NULL,北京-海淀区,全职,2年经验,硕士,12000-16000,NULL,NULL,"晋升空间大,五险一金,差旅补贴,定期体检,节日福利,绩效奖金,项目奖金,",岗位职责:据工程的实施任职要求：1、GIS、摄影测量遥感、计算机专业毕业；2、熟悉arcgis、mapgis、mapinfo、supermap、geostar等常用GIS平台；3、熟练使用Photoshop、AutoCAD、3DMax等软件；4、熟悉Oracle、MySQL、SQLServer等数据库软件；5、有过大型空间数据工程经验者优先。6、有团队精神和创业精神。,"
                    岗位职责：数据工程的实施任职要求：1、GIS、摄影测量遥感、计算机专业毕业；2、熟悉arcgis、mapgis、mapinfo、supermap、geostar等常用GIS平台；3、熟练使用Photoshop、AutoCAD、3DMax等软件；4、熟悉Oracle、MySQL、SQL Server等数据库软件；5、有过大型空间数据工程经验者优先。6、有团队精神和创业精神。
                ",北京德毅科技有限公司,计算机软件,民营私企,NULL, 20人以下,NULL,2018-2-1,http://www.chinahr.com/job/6017454287948804.html,中华英才网
数据分析师,NULL,广州-白云区,全职,2年经验,本科,6000-8000,NULL,NULL,"年终奖,绩效奖金,项目奖金,五险一金,弹性工作,员工培训,下午茶充足,工作内容有趣,优秀人才多,帅哥美女多,",岗位职责:.对接供应链各业务部门，为业务部门提供数据支持；2.供应链日常运营数据监控，及时发现数据异常推动运营改善；3.负责专项数据分析，发现商业机会，为业务部门调整运营策略提供依据；岗位要求：1.熟练使用SQL的数据库产需分析操作2.熟练使用Excel进行数据统计、分析工作3.1年以上业务数据分析工作经历4.有良好的团队协作能力，可搞笑推动流程进度福利待遇工作时间：单双休周一~周五：9:00-18:00周六9:00-15:30薪资：6K-8K福利：生日会/专业培训/入职体检/全勤/年终奖/绩效奖金/五险一金工作地址广州市白云区白云区景泰街机场东门路01号豪泉大厦,"岗位职责：1. 对接供应链各业务部门，为业务部门提供数据支持；2.供应链日常运营数据监控，及时发现数据异常推动运营改善；3. 负责专项数据分析，发现商业机会，为业务部门调整运营策略提供依据；岗位要求：1.熟练使用SQL的数据库产需分析操作2. 熟练使用Excel进行数据统计、分析工作3.1年以上业务数据分析工作经历4.有良好的团队协作能力，可搞笑推动流程进度福利待遇工作时间：单双休 周一~周五：9:00-18:00 周六 9:00-15:30薪资：6K-8K福利：生日会/专业培训/入职体检/全勤/年终奖/绩效奖金/五险一金工作地址广州市白云区白云区景泰街机场东门路01号 豪泉大厦
                ",广州乔莎服饰有限公司,"服装,纺织",民营私企,NULL, 101－300人,NULL,2018-2-2,http://www.chinahr.com/job/6362881270058240.html,中华英才网
数据统计员,NULL,深圳-南山区,全职,1年经验,大专,3000-5000,NULL,NULL,"年终奖,绩效奖金,五险一金,",岗位职责:统计好每日收款数据；2.协助部门统计和流程处理相关工作。3.协助上级完成具体指定的数据统计分析工作；任职要求：1.统计或会计专业，电脑操作熟练，尤其是对Excel表格能熟练操作，熟悉涵数运用，有统计经验优先；2.工作认真负责，具备极强的时间观念和执行能力,"
                    1.按照要求统计好每日收款数据；2.协助部门统计和流程处理相关工作。3.协助上级完成具体指定的数据统计分析工作；任职要求：1. 统计或会计专业，电脑操作熟练，尤其是对Excel表格能熟练操作，熟悉涵数运用，有统计经验优先；2. 工作认真负责，具备极强的时间观念和执行能力
                ",中港通旅运有限公司,"交通,运输",合资,NULL, 51－100人,NULL,2018-2-2,http://www.chinahr.com/job/6558682564398340.html,中华英才网
数据专员,NULL,广州-天河区,全职,0年经验,本科,40000-50000,NULL,NULL,"绩效奖金,五险一金,员工培训,节日福利,工作内容有趣,办公室漂亮,地处繁华商圈,优秀人才多,办公装备高档,晋升空间大,领导易相处,豪华团建,帅哥美女多,单身多,更多,",岗位职责:、负责完成数据库资源建设、数据库统计、分析、报告撰写等相关工作2、按时间要求完成所有项目的内部报表和外部报表、并进行报表数据的整合与管理3、根据需要，对各项进行数据分析工作，协助进行项目的运营管理4、呼叫中心各KPI数据的收集、分析、预警、推动业务负责人做不达标KPI改善5、各类业务数据分析汇总、趋势分析，为流程改善和业务发展提供数据支持任职要求：1、大学本科以上学历，以计算机、统计相关专业为主2、熟练使用Excel，SPSS等相关软件3、具备半年或者以上的呼叫中心相关工作经验优先4、具备很强的敬业精神5、具有良好的问题分析能力、对数字敏感、熟练使用Office和统计工具软件6、具有良好的条理性和逻辑分析能力【薪资福利待遇】1.入职即购买五险一金；2.转正后可免费申请公司业务范围之内的所有培训课程（教师、会计、建造、人力资源，学历提升等12大职业晋升课程），直到学完拿到资格证书为止；3.春节假期长达14天！（除享有国家法定节假日外，额外再享有带薪年假）；4.享受员工生日PARTY以及精美生日礼品；5.舒适整洁的工作环境，轻松愉快的工作氛围。,"
                    工作岗位:1、负责完成数据库资源建设、数据库统计、分析、报告撰写等相关工作2、按时间要求完成所有项目的内部报表和外部报表、并进行报表数据的整合与管理3、根据需要，对各项进行数据分析工作，协助进行项目的运营管理4、呼叫中心各KPI数据的收集、分析、预警、推动业务负责人做不达标KPI改善5、各类业务数据分析汇总、趋势分析，为流程改善和业务发展提供数据支持任职要求：1、大学本科以上学历，以计算机、统计相关专业为主2、熟练使用Excel，SPSS等相关软件3、具备半年或者以上的呼叫中心相关工作经验优先4、具备很强的敬业精神5、具有良好的问题分析能力、对数字敏感、熟练使用Office和统计工具软件6、具有良好 的条理性和逻辑分析能力【薪资福利待遇】1.入职即购买五险一金；2.转正后可免费申请公司业务范围之内的所有培训课程（教师、会计、建造、人力资源，学历提升等12大职业晋升课程），直到学完拿到资格证书为止；3.春节假期长达14天！（除享有国家法定节假日外，额外再享有带薪年假）；4.享受员工生日PARTY以及精美生日礼品；5.舒适整洁的工作环境，轻松愉快的工作氛围。
                ",广州尚微浩商贸有限公司,移动互联网,外商独资,NULL, 101－300人,NULL,2018-2-5,http://www.chinahr.com/job/6513679703215365.html,中华英才网
云计算/大数据,NULL,北京-昌平区,全职,0年经验,其他,6000-12000,NULL,NULL,"五险一金,年终奖,弹性工作,节日福利,定期体检,带薪年假,","岗位职责:历，应/往届毕业生，有志于在IT行业发展。2专业不限，所含专业包括计算机、电子、软件工程、自动化、测控、机电、机械、土木土建等；福利待遇1、基本工资6000-12000+项目提成+餐费补贴+外地员工可以提供住宿2、五险(养老、失业、工伤、医疗、生育）一金（公积金）3、入职后签订劳动就业合同，五险一金+双休法定假日,有良好的晋升空间4、全体员工除享受以上福利待遇外还将享受带薪年假、病假、婚假、丧假、产假等国家法定节假日","
                    1大专以上学历，应/往届毕业生，有志于在IT行业发展。2专业不限，所含专业包括计算机、电子、软件工程、自动化、测控、机电、机械、土木土建等；福利待遇1、基本工资6000-12000+项目提成+餐费补贴+外地员工可以提供住宿2、五险(养老、失业、工伤、医疗、生育）一金（公积金）3、入职后签订劳动就业合同，五险一金+双休法定假日,有良好的晋升空间4、全体员工除享受以上福利待遇外还将享受带薪年假、病假、婚假、丧假、产假等国家法定节假日
                ",元贞道（北京）文化股份有限公司,广告,民营私企,NULL, 101－300人,NULL,2018-2-5,http://www.chinahr.com/job/6298621711060231.html,中华英才网
数据库管理（DBA）,NULL,合肥-蜀山区,全职,3年经验,本科,6000-10000,NULL,NULL,"年终奖,五险一金,带薪年假,定期体检,节日福利,员工旅游,","岗位职责:、负责SQLSERVER数据库的监控、备份、SQL审核与维护升级。2、负责SQL调优、制定数据库开发规范、解决技术难题、调研最新数据库相关技术。3、负责SQLSERVER数据库系统架构设计，包括高并发、高性能、高可用架构。4、负责维护数据库系统的稳定、高效、安全运行，参与数据架构规划设计；5、负责及时排除数据库故障，并对数据库进行持续性能优化；6、管理公司数据库服务器高可用集群,保障服务稳定7*24可用；7、建立和维护数据库高可用集群监控和备份恢复机制，提高服务运行质量。8、兼顾部分其他类型数据库(Oracle/Mysql)相关维护调优DBA任务。任职要求：1、三年以上sqlserverdba实际工作经验,熟悉数据库相关优化策略。2、熟悉SQLSERVER相关高可用/灾难恢复技术方案。3、熟悉Mysql/Oracle相关高可用架构、了解nosql以及大数据相关技术(hadoop/spark)优先。4、熟悉Linux/Unix操作系统，有php/python/shell一种或多种脚本语言编程能力。","
                    岗位职责：1、负责 SQL SERVER 数据库的监控、备份、SQL审核与维护升级。2、负责SQL调优、制定数据库开发规范、解决技术难题、调研最新数据库相关技术。3、负责 SQL SERVER 数据库系统架构设计，包括高并发、高性能、高可用架构。4、负责维护数据库系统的稳定、高效、安全运行，参与数据架构规划设计；5、负责及时排除数据库故障，并对数据库进行持续性能优化；6、管理公司数据库服务器高可用集群,保障服务稳定7*24可用；7、建立和维护数据库高可用集群监控和备份恢复机制，提高服务运行质量。8、兼顾部分其他类型数据库(Oracle/Mysql)相关维护调优DBA任务。任职要求：1、三年以上sqlserver dba实际工作经验,熟悉数据库相关优化策略。2、熟悉SQL SERVER相关高可用/灾难恢复 技术方案。3、熟悉Mysql/Oracle相关高可用架构、了解nosql以及大数据相关技术(hadoop/spark)优先。4、熟悉Linux/Unix操作系统，有php/python/shell一种或多种脚本语言编程能力。
                ",卫宁健康科技集团股份有限公司合肥分公司,计算机软件,上市公司,NULL, 500人以上,NULL,2018-2-7,http://www.chinahr.com/job/6431210263940357.html,中华英才网
DBA数据库工程师,NULL,上海-杨浦区,全职,3年经验,本科,15000-25000,NULL,NULL,"五险一金,",岗位职责:协助架构师和开发工程师一起完成数据库维护规范的设计和数据架构设计；2、负责数据库开发、测试、生产环境的搭建；3、规划和实施数据库备份、恢复；4、负责控制和监控用户对数据库的存取访问，规划和实施数据库的安全性和稳定性；5、支持开发和应用数据库的技术，协助解决相关数据库疑难问题，如性能调优方案设计及执行等。要求:1、具有至少3年及以上大规模数据库设计、优化、运维经验;年龄小于35岁2、精通数据库原理，具有逻辑与物理数据库设计的实际工作经验。对数据库开发，数据模，架构，规划，及对数据库性能调整有丰富的经验；3、掌握MySQL/MSSQL数据库体系结构，能够熟练使用性能分析工具优化数据库；4、熟练使用数据库的备份与恢复工具，能够独立设计数据库备份、恢复预防方案；5、熟悉分布式数据库理论，熟悉Hadoop，Spark框架，有过实际经验优先。6、数据库量级要求相对较大（目前平台用户量级在百万级，具体的可参考金银猫官网平台信息披露）职位加分项稳定性最好稳定性好其他项1、掌握Shell、Python、Go等脚本编写经验优先；2、熟悉分布式数据库理论，熟悉Hadoop，Spark框架，有过实际经验优先3、具有金融互联网行业数据库维护经验优先；,"
                    主要职责1、协助架构师和开发工程师一起完成数据库维护规范的设计和数据架构设计；2、负责数据库开发、测试、生产环境的搭建；3、规划和实施数据库备份、恢复；4、负责控制和监控用户对数据库的存取访问，规划和实施数据库的安全性和稳定性；5、支持开发和应用数据库的技术，协助解决相关数据库疑难问题，如性能调优方案设计及执行等。要求: 1、具有至少3年及以上大规模数据库设计、优化、运维经验;年龄小于35岁2、精通数据库原理，具有逻辑与物理数据库设计的实际工作经验。对数据库开发，数据模，架构，规划，及对数据库性能调整有丰富的经验；3、掌握MySQL/MSSQL数据库体系结构，能够熟练使用性能分析工具优化数据库；4、熟练使用数据库的备份与恢复工具，能够独立设计数据库备份、恢复预防方案；5、熟悉分布式数据库理论，熟悉Hadoop，Spark框架，有过实际经验优先。6、数据库量级要求相对较大（目前平台用户量级在百万级，具体的可参考金银猫官网平台信息披露）职位加分项稳定性最好稳定性好其他项1、掌握Shell、Python、Go等脚本编写经验优先；2、熟悉分布式数据库理论，熟悉Hadoop，Spark框架，有过实际经验优先3、具有金融互联网行业数据库维护经验优先；
                ",上海闪招信息技术有限公司,移动互联网,民营私企,NULL, 51－100人,NULL,2018-2-9,http://www.chinahr.com/job/6453804005658117.html,中华英才网
大数据实习工程师,NULL,郑州-高新技术开发区,全职,0年经验,大专,4000-8000,NULL,NULL,"年终奖,绩效奖金,五险一金,带薪年假,员工培训,节日福利,晋升空间大,差旅补贴,","岗位职责:基于hadoop等构建数据分析平台，进行设计、开发分布式计算业务；●辅助管理Hadoop集群运行，稳定提供平台服务；应聘要求：●计算机相关专业或者数学相关专业，可接收优秀的应届生；●熟悉hadoop集群的搭建、管理及优化,熟悉HDFS和YARN,熟练使用相关的监控和管理工具；●熟练掌握Linux操作系统,能运用常用的工具对系统状态进行监控测量；●对数据分析和数据挖掘有浓厚兴趣者优先考虑；薪资待遇：转正后郑州6K-8K,外地（上海，杭州等）10K-15K；●薪资构成：工资+奖金+年终奖；公司福利：1、我们提供有竞争力的薪资；2、享受每年两次普调工资制度；3、享有年终奖金；4、为员工缴纳五险及住房公积金；5、生日惊喜、司龄惊喜；6、节假日福利；7、双休制，所有节假日均按照国家法定执行；8、年休假（五天以上）及婚假、产育假（男职工陪产假）等休假制度；9、专享来往探亲车票报销待遇；10、定期组织户外拓展活动以及聚餐活动；11、广阔的晋升空间；12、高新前沿的技能培训。晋升空间：技术：初级工程师→中级工程师→高级工程师→项目经理→技术总监管理：开发工程师→系统工程师→项目组长→项目经理→部门经理→公司高管业务：开发工程师→系统设计→业务策划→产品经理→业务专家行政人事：专员→主管→经理→总监","
                    岗位职责：●基于hadoop等构建数据分析平台，进行设计、开发分布式计算业务；●辅助管理Hadoop集群运行，稳定提供平台服务；应聘要求：●计算机相关专业或者数学相关专业，可接收优秀的应届生；●熟悉hadoop集群的搭建、管理及优化,熟悉 HDFS 和 YARN,熟练使用相关的监控和管理工具；●熟练掌握 Linux 操作系统,能运用常用的工具对系统状态进行监控测量；●对数据分析和数据挖掘有浓厚兴趣者优先考虑；薪资待遇：转正后郑州6K-8K, 外地（上海，杭州等）10K-15K；●薪资构成：工资+奖金+年终奖；公司福利：1、我们提供有竞争力的薪资；2、享受每年两次普调工资制度；3、享有年终奖金；4、为员工缴纳五险及住房公积金；5、生日惊喜、司龄惊喜；6、节假日福利；7、双休制，所有节假日均按照国家法定执行；8、年休假（五天以上）及婚假、产育假（男职工陪产假）等休假制度；9、专享来往探亲车票报销待遇；10、定期组织户外拓展活动以及聚餐活动；11、广阔的晋升空间；12、高新前沿的技能培训。晋升空间：技术：初级工程师→中级工程师→高级工程师→项目经理→技术总监管理：开发工程师→系统工程师→项目组长→项目经理→部门经理→公司高管业务：开发工程师→系统设计→业务策划→产品经理→业务专家行政人事：专员→主管→经理→总监
                ",河南海融软件有限公司,计算机软件,民营私企,NULL, 101－300人,NULL,2018-2-9,http://www.chinahr.com/job/6499453532734981.html,中华英才网
大数据实习工程师,NULL,郑州-高新技术开发区,全职,0年经验,大专,4000-6000,NULL,NULL,"年终奖,绩效奖金,五险一金,带薪年假,员工培训,节日福利,晋升空间大,差旅补贴,","岗位职责:具备一定的java、python编程语言基础●基于hadoop等构建数据分析平台，进行设计、开发分布式计算业务；●辅助管理Hadoop集群运行，稳定提供平台服务；任职要求：●计算机相关专业或者数学相关专业，可接收优秀的应届生；●熟悉hadoop集群的搭建、管理及优化,熟悉HDFS和YARN,熟练使用相关的监控和管理工具；●熟练掌握Linux操作系统,能运用常用的工具对系统状态进行监控测量；●对数据分析和数据挖掘有浓厚兴趣者优先考虑；薪资待遇：●转正后郑州4K-6K,外地（上海，杭州等）6K-10K；●薪资构成：工资+奖金+年终奖；●定期的技能、管理等各类培训，使员工全面发展●享受国家规定的保险福利待遇，年休假、婚假、女职工产育假、男职工陪护假等带薪假期；","
                    岗位职责：●具备一定的java、python编程语言基础●基于hadoop等构建数据分析平台，进行设计、开发分布式计算业务；●辅助管理Hadoop集群运行，稳定提供平台服务；任职要求：●计算机相关专业或者数学相关专业，可接收优秀的应届生；●熟悉hadoop集群的搭建、管理及优化,熟悉 HDFS 和 YARN,熟练使用相关的监控和管理工具；●熟练掌握 Linux 操作系统,能运用常用的工具对系统状态进行监控测量；●对数据分析和数据挖掘有浓厚兴趣者优先考虑；薪资待遇：●转正后郑州4K-6K, 外地（上海，杭州等）6K-10K；●薪资构成：工资+奖金+年终奖；●定期的技能、管理等各类培训，使员工全面发展●享受国家规定的保险福利待遇，年休假、婚假、女职工产育假、男职工陪护假等带薪假期；
                ",河南海融软件有限公司,计算机软件,民营私企,NULL, 101－300人,NULL,2018-2-9,http://www.chinahr.com/job/6485448160873477.html,中华英才网
汽车配件数据工程师,NULL,上海-浦东新区,全职,0年经验,大专,4500-6000,NULL,NULL,"年终奖,五险一金,节日福利,优秀人才多,带薪年假,",岗位职责:、负责汽车售后维修配件目录开发，汽车配件系统的数据维护、配件目录图片整理；2、负责汽车售后维修配件信息系统发布；3、配合研发部门，对售后配件工程更改信息维护；4、结合零部件数模图、数据、安装示意图等信息，在数据库中维护更新；5、对上下游配件相关问题咨询的支持。任职要求：1、机械类或汽车专业，全日制大专及以上学历，理工科背景；2、CET-4及以上，能够阅读理解业务相关的英语资料、正确运用书面英语进行业务交流；3、熟练运用office软件，工作细致认真；4、良好的沟通能力，较强的逻辑思维能力，良好的团队协助能力。工作地点：公司项目-泛亚（上海浦东龙东大道3999号）班次：，做五休二、常日班,"
                    岗位职责：1、负责汽车售后维修配件目录开发，汽车配件系统的数据维护、配件目录图片整理；2、负责汽车售后维修配件信息系统发布；3、配合研发部门，对售后配件工程更改信息维护；4、结合零部件数模图、数据、安装示意图等信息，在数据库中维护更新；5、对上下游配件相关问题咨询的支持。任职要求：1、机械类或汽车专业，全日制大专及以上学历，理工科背景；2、CET-4及以上，能够阅读理解业务相关的英语资料、正确运用书面英语进行业务交流；3、熟练运用office软件，工作细致认真；4、良好的沟通能力，较强的逻辑思维能力，良好的团队协助能力。工作地点：公司项目-泛亚（上海浦东 龙东大道3999号）班次：，做五休二、常日班
                ",上海赛赛汽车技术服务有限公司,人才服务,民营私企,NULL, 301－500人,NULL,2018-2-9,http://www.chinahr.com/job/6352040065043975.html,中华英才网
