city,company,company_finance,company_size,company_type,company_url,date,department,education_requirement,experience_requirement,industry,major_requirement,monthly_salary_range,position_advantage,position_cleaned,position_info,position_tag,posted_url,posted_website,recruit_count,专业要求,公司主页,公司名称,公司性质,公司行业,公司规模,原始URL,发布日期,发布网站,学历,岗位介绍,工作地点,工作性质,招聘人数,经验,职位名称,职位诱惑,薪资,融资阶段,部门
,,,,,,,,,,,,,,,,,,,,,,上海海若邻度假服务有限公司,民营公司,"酒店, 旅游",50-150人,http://jobs.51job.com/shanghai-hpq/96765115.html?s=01&t=0,05/02/2018,前程无忧,本科,岗位职责1、对业务和客户体验数据进行整理、收集、挖掘、建模等；2、基于监控和分析指标搭建数据体系，形成运营报表模板并输出，对异常情况做异常预警；3、深入了解业务，为各业务、服务板块建立、执行及完善监控报表、分析报告；4、根据业务数据表现，对总部及全国各分公司指标达成和部门经营水平进行科学预测；5、与相关工作人员做各类数据需求的对接，推动业务、服务水平的改进与发展。任职资格:1、拥有3年以上互联网行业数据挖掘分析，具有一定的软件开发能力；2、精通Excel，熟练使用SPSS、R或SAS任一软件；3、熟悉Oracle、Mysql或SQLsever其中一种，可熟练编写sql语句；4、良好的数据分析能力，有丰富的数据分析、挖掘、清洗和建模的经验；5、出色的学习能力，能快速了解业务并设计相应的数据模型；6、性格稳重，有良好的职业道德和职业操守，有独立工作和承受工作压力的能力7、热爱旅游行业。,上海-黄浦区,,1.0,3-4年经验,数据分析师,"五险一金,补充医疗保险,补充公积金,餐饮补贴",12000-20000,,
,,,,,,,,,,,,,,,,,,,,,,北京中兴通控股有限公司,多元化业务集团公司,,500-1000人,http://jobs.51job.com/beijing-hdq/98322421.html?s=01&t=0,05/02/2018,前程无忧,本科,,北京-海淀区,,1.0,3-4年经验,数据分析师,"五险一金,补充医疗保险,交通补贴,餐饮补贴,通讯补贴,年终奖金,定期体检",30000-40000,,
,,,,,,,,,,,,,,,,,,,,,,旅拍文化传播（上海）有限公司无锡分公司,合资,"互联网, 电子商务,影视, 媒体, 艺术, 文化传播",1000-5000人,http://jobs.51job.com/wuxi/90967757.html?s=01&t=0,05/02/2018,前程无忧,,岗位职责1、根据公司战略，进行数据产品运营规划；2、根据公司平台模式及渠道特点制定规范业务流程，制定运营规则；3、有平台运营经验，平台数据收集、分析、统计用户活跃度，用户层次。要有一定的经营理念和平台运维经验。4、与产品、技术等团队协作，通过产品开发和运营落地，持续完善、拓展和提高平台用户体验；5、有数据分析或数据运营类相关工作经验者优先。6、有一定的行政能力，沟通协调能力强。直接向总经理汇报工作任职资格1、本科及以上学历，数学、统计学、经济学等相关专业，熟悉互联网产品和服务；2、对产品和数据运营敏感，具备逻辑思维能力，至少掌握一款数据分析软件，excel、spss、sas；3、有较强的计划与执行能力，良好的沟通协作能力，擅于发现和解决问题，责任心强，踏实肯干、诚实敬业，能够主动承受工作压力；4、熟悉oracle，mysql等数据库，掌握SOL、R语言、Python者优先。,无锡,,1.0,无工作经验,"数据运营专员, ","绩效奖金,年终奖金,餐饮补贴,弹性工作",3000-6000,,
,,,,,,,,,,,,,,,,,,,,,,杭州海康威视数字技术股份有限公司,合资,"电子技术, 半导体, 集成电路",10000人以上,http://jobs.51job.com/hangzhou-bjq/85427339.html?s=01&t=0,05/02/2018,前程无忧,硕士,工作职责：大数据挖掘领域的前沿技术研究及算法开发。岗位要求：1.统计学及相关应用数学专业，硕士及以上学历；2.扎实的统计学、数据挖掘理论基础，对大数据挖掘领域有兴趣；3.具有良好的数据敏感度和优秀的数据分析技能;4.有一定编程经验。,杭州-滨江区,,1.0,无工作经验,"大数据算法工程师, 数据挖掘, ","五险一金,补充医疗保险,交通补贴,餐饮补贴,通讯补贴,专业培训,年终奖金,股票期权,弹性工作,定期体检",20833-50000,,
,,,,,,,,,,,,,,,,,,,,,,北京位来小猎科技有限公司,创业公司,"计算机服务(系统、数据服务、维修),外包服务",50-150人,http://jobs.51job.com/beijing-cyq/98012785.html?s=01&t=0,05/02/2018,前程无忧,,岗位职责1、根据公司需要，在各大网站发布职位信息。2、调查公司所需人才的外部人力资源存量与分布状况，并进行有效分析，对招聘渠道实施规划、维护、拓展，保证人才层次丰富、质量高，确保招聘渠道能有效满足公司的用人需求。3、搜集简历，对简历进行分类、筛选，汇总。4、负责招聘广告的撰写，招聘网站的维护和更新，以及招聘网站的信息沟通。5、总结招聘工作中存在的问题，提出优化招聘制度和流程的合理化建议，完成招聘分析报告。6、负责建立企业人才储备库，做好简历管理与信息保密工作。任职资格：1、财务，会计，经济等相关专业大专及以上学历；2、熟悉现金管理及银行结算，财务软件操作；3、熟练运用用友办公自动化软件及相关财务软件；4、掌握基本财务知识，熟悉财务管理制度。福利情况：1、创业公司晋升速度快晋升通道清晰畅通，具体看能力（晋级快）2、创业公司待处理事务多，锻炼全面，可以快速学习提升自己（个人提升快）3、周末双休4、住宿补贴（房租自己出500剩下的公司补）5、入职就上五险一金（五险一金）6、扫地僧谈话机会（几位老板话痨）7、绩效奖（能者多得！！！）8、6000底薪职能类别：统计员财务助理/文员数据统计员数据挖掘师数据采集关键字：出纳员财务会计助理财务审计税务会计助理会计文员统计员,北京-朝阳区,,1.0,无工作经验,数据挖掘工程师,"五险一金,专业培训,绩效奖金,弹性工作",6000-8000,,
,,,,,,,,,,,,,,,,,,,,,,北京微播易科技股份有限公司,民营公司,"互联网, 电子商务,影视, 媒体, 艺术, 文化传播",150-500人,http://jobs.51job.com/beijing/72685611.html?s=01&t=0,05/02/2018,前程无忧,,岗位职责：1、社交平台用户行为分析；2、特征值提取与分析；3、建立数学模型对用户行为进行预测。任职资格：1、计算机、数学、统计或其他相关领域本科或本科以上学历；2、有机器学习或数据挖掘相关工作经验；3、熟悉常用的数据结构和算法；4、有扎实的编程基础，至少能够熟练使用一种编程语言；5、熟悉python或java的优先；6、有一定的分布式数据处理经验；熟悉hadoop的优先；7、逻辑分析能力强。8、有数据Web可视化经验者优先,北京,,1.0,3-4年经验,数据挖掘工程师,,15000-20000,,
,,,,,,,,,,,,,,,,,,,,,,上海好居信息科技有限公司,民营公司,"互联网, 电子商务,计算机软件",150-500人,http://jobs.51job.com/shanghai-pdxq/93820069.html?s=01&t=0,05/02/2018,前程无忧,本科,工作职责：1、负责调研相关渠道可行性分析，包括解析方案等；2、建立爬虫监测体系，及时分析及解决爬虫在运行过程中出现的缺陷；3、根据开发进度和任务分配，按时高质量完成相应功能模块设计与开发实现；4、深刻理解爬虫系统架构，能对系统架构提出自己的见解和优化方案；5、生产环境爬虫系统的监控和维护，及时发现和修复线上问题；6、积极完成上级领导安排的工作任务，保证任务按质按量完成；7、处理领导其他交办事项。岗位要求1、全日制本科及以上，3年以上Java开发经验，1年以上数据抓取工作经验；2、了解分布式基本知识，了解java进程间通讯技术；3、熟悉爬虫相关技术，如：httpClient、jSoup、xpath、正则表达式等；4、熟悉Linux常用命令，独立完成日常部署更新等；5、熟悉python优先，有app研发背景或app爬虫开发经验佳，有逆向经验尤佳；6、具备较强的团队协作精神，工作责任心强，良好的沟通、理解、执行能力。,上海-浦东新区,,2.0,3-4年经验,爬虫开发工程师,"五险一金,弹性工作,带薪年假,节日福利,技术大牛多",15000-30000,,
,,,,,,,,,,,,,,,,,,,,,,万得信息技术股份有限公司（Wind资讯）,民营公司,"计算机软件,金融, 投资, 证券",1000-5000人,http://jobs.51job.com/shanghai-pdxq/84742050.html?s=01&t=0,05/02/2018,前程无忧,本科,"工作职责：1、和大数据工程师、数据科学家共同工作,探索可视化在金融业务场景的技术方案和产品应用；2、开发展示为主的数据大屏和业务分析为主的数据产品以及在移动端数据可视化项目;3、负责数据产品/可视化大屏的前端架构和应用后台及通用组件的开发任职要求：1、本科及以上学历，功底扎实，视野开阔，对新技术具有敏感和热情；2、工程能力强，熟悉AxureRP等设计工具,有较复杂的WebApp类型产品前端开发经验；3、熟悉数据可视化开源方案，有数据分析场景/数据可视化经验者(ECharts/Highcharts/D3)优先；4、技术跟随前沿,熟悉Servlet,HTML5,JavaScript,Json,了解Node/AngularJS/React；5、熟悉Web后台性能优化和前端展示技术;5、熟悉1-2种分析型数据库(如DB/Hive/Neo4j)者优先；6、性格要求：性格开朗，勇于挑战；良好的人际关系，对技术追求工匠精神。",上海-浦东新区,,1.0,3-4年经验,大数据可视化工程师,,,,
,,,,,,,,,,,,,,,,,,,,,,南京云创大数据科技股份有限公司,上市公司,计算机软件,150-500人,http://jobs.51job.com/nanjing/94262441.html?s=01&t=0,05/02/2018,前程无忧,本科,"岗位职责1.对公司现有大数据相关需求进行开发；2.负责对公司大数据平台进行优化与完善；3.负责大数据应用算法的设计、研发与产品优化；岗位要求1.1年以上park平台开发维护经验；2.有扎实的数据挖掘理论和数据结构算法技术基础,对聚类、分类、协同过滤、预测、时间序列、图论、神经网络等有过深入研究；3.熟练使用java、scala语言；4.熟悉Hadoop、Spark、Storm、Hbase等大规模分布式数据分析框架、并对其原理有较深的了解；5.有过数学建模经验，较强的数据分析能力，对数据敏感，能从海量数据中发现有价值的规律；6.熟悉数据挖掘和机器学习的相关算法，有较强的编程能力；【薪酬福利】1.双休+五险一金+商业补充医疗保险；2.中餐、全勤奖、过节费、婚礼、生育礼金统统有；3.优秀员工、团队奖励，月月评选，月月发；4.各种培训机会及交流分享；5.行业内有竞争力的薪酬；6.还有，丰厚的股票期权；7.浮动制年终奖8.不定期下午茶、Outing；9.还有部分员工宿舍提供【班车接送站点】：河定桥、常府街、下马坊（地铁站）公司地址：南京白下高新中国云计算创新基地A栋九层",南京,,2.0,3-4年经验,"大数据开发工程师, Hadoop, ","补充医疗保险,员工旅游,年终奖金,专业培训,股票期权,全勤奖,牛人团建,人性化加班,双休六险一金",8000-16000,,
,,,,,,,,,,,,,,,,,,,,,,深圳市腾讯计算机系统有限公司,民营公司,"互联网, 电子商务",500-1000人,http://jobs.51job.com/shenzhen/98304835.html?s=01&t=0,05/02/2018,前程无忧,本科,负责腾讯游戏运营支撑数据平台的建设；负责海量数据的接入、计算、存储、查询和分析；参与数据平台自助化建设。计算机相关专业，3年及以上相关工作经验，有扎实的计算机理论基础；精通Java/Scala/Python程序开发(至少一种)，熟悉Linux/Unix开发环境；深入理解MapReduce，熟练使用Storm、Hadoop、Spark、Flink，并阅读部分源码；熟练使用HDFS、Hbase、Kafka、ElasticSearch、InfluxDB；具有高扩展性、高性能和分布式系统的实践经验；对分布式系统以及消息队列中间件有实践经验；具有SparkStreaming、MLlib使用经验优先；?具有良好的沟通能力、学习能力、分析解决问题能力；具有高度的责任心和团队合作精神。,深圳,,1.0,3-4年经验,"大数据研发工程师, , ",,,,
